"Step","swept-blaze-817 - mean_entropy_0","swept-blaze-817 - mean_entropy_0__MIN","swept-blaze-817 - mean_entropy_0__MAX"
"1","0.9976565837860107","0.9976565837860107","0.9976565837860107"
"3","0.9981545209884644","0.9981545209884644","0.9981545209884644"
"5","0.9977824091911316","0.9977824091911316","0.9977824091911316"
"7","0.9982695579528809","0.9982695579528809","0.9982695579528809"
"9","0.9981377720832825","0.9981377720832825","0.9981377720832825"
"11","0.9980883002281189","0.9980883002281189","0.9980883002281189"
"13","0.9979922771453857","0.9979922771453857","0.9979922771453857"
"17","0.997725248336792","0.997725248336792","0.997725248336792"
"19","0.9981793761253357","0.9981793761253357","0.9981793761253357"
"21","0.9978464841842651","0.9978464841842651","0.9978464841842651"
"23","0.9982701539993286","0.9982701539993286","0.9982701539993286"
"25","0.998169481754303","0.998169481754303","0.998169481754303"
"27","0.9981210231781006","0.9981210231781006","0.9981210231781006"
"29","0.9980326890945435","0.9980326890945435","0.9980326890945435"
"33","0.9977623224258423","0.9977623224258423","0.9977623224258423"
"35","0.9981817007064819","0.9981817007064819","0.9981817007064819"
"37","0.9978983998298645","0.9978983998298645","0.9978983998298645"
"39","0.9982554316520691","0.9982554316520691","0.9982554316520691"
"41","0.9981841444969177","0.9981841444969177","0.9981841444969177"
"43","0.9981377720832825","0.9981377720832825","0.9981377720832825"
"45","0.9980533123016357","0.9980533123016357","0.9980533123016357"
"49","0.9977833032608032","0.9977833032608032","0.9977833032608032"
"51","0.9981639981269836","0.9981639981269836","0.9981639981269836"
"53","0.9979321956634521","0.9979321956634521","0.9979321956634521"
"55","0.9982247948646545","0.9982247948646545","0.9982247948646545"
"57","0.9981830716133118","0.9981830716133118","0.9981830716133118"
"59","0.9981330037117004","0.9981330037117004","0.9981330037117004"
"61","0.9980540871620178","0.9980540871620178","0.9980540871620178"
"65","0.997786819934845","0.997786819934845","0.997786819934845"
"67","0.998127818107605","0.998127818107605","0.998127818107605"
"69","0.9979453682899475","0.9979453682899475","0.9979453682899475"
"71","0.9981770515441895","0.9981770515441895","0.9981770515441895"
"73","0.998161792755127","0.998161792755127","0.998161792755127"
"75","0.9981095790863037","0.9981095790863037","0.9981095790863037"
"77","0.9980338215827942","0.9980338215827942","0.9980338215827942"
"81","0.997767448425293","0.997767448425293","0.997767448425293"
"83","0.9980718493461609","0.9980718493461609","0.9980718493461609"
"85","0.9979416131973267","0.9979416131973267","0.9979416131973267"
"87","0.9981110692024231","0.9981110692024231","0.9981110692024231"
"89","0.9981194734573364","0.9981194734573364","0.9981194734573364"
"91","0.9980671405792236","0.9980671405792236","0.9980671405792236"
"93","0.9979941248893738","0.9979941248893738","0.9979941248893738"
"97","0.9977291822433472","0.9977291822433472","0.9977291822433472"
"99","0.9979935884475708","0.9979935884475708","0.9979935884475708"
"101","0.9979211091995239","0.9979211091995239","0.9979211091995239"
"103","0.99802565574646","0.99802565574646","0.99802565574646"
"105","0.9980566501617432","0.9980566501617432","0.9980566501617432"
"107","0.998002827167511","0.998002827167511","0.998002827167511"
"109","0.9979342222213745","0.9979342222213745","0.9979342222213745"
"113","0.997671365737915","0.997671365737915","0.997671365737915"
"115","0.9978969097137451","0.9978969097137451","0.9978969097137451"
"117","0.997879683971405","0.997879683971405","0.997879683971405"
"119","0.9979228377342224","0.9979228377342224","0.9979228377342224"
"121","0.9979756474494934","0.9979756474494934","0.9979756474494934"
"123","0.997916579246521","0.997916579246521","0.997916579246521"
"125","0.9978541731834412","0.9978541731834412","0.9978541731834412"
"129","0.9975927472114563","0.9975927472114563","0.9975927472114563"
"131","0.9977810382843018","0.9977810382843018","0.9977810382843018"
"133","0.9978170990943909","0.9978170990943909","0.9978170990943909"
"135","0.9978066086769104","0.9978066086769104","0.9978066086769104"
"137","0.9978777170181274","0.9978777170181274","0.9978777170181274"
"139","0.9978123307228088","0.9978123307228088","0.9978123307228088"
"141","0.9977540969848633","0.9977540969848633","0.9977540969848633"
"145","0.9974965453147888","0.9974965453147888","0.9974965453147888"
"147","0.9976465702056885","0.9976465702056885","0.9976465702056885"
"149","0.9977405071258545","0.9977405071258545","0.9977405071258545"
"151","0.9976744651794434","0.9976744651794434","0.9976744651794434"
"153","0.9977627396583557","0.9977627396583557","0.9977627396583557"
"155","0.9976919293403625","0.9976919293403625","0.9976919293403625"
"157","0.9976340532302856","0.9976340532302856","0.9976340532302856"
"161","0.9973782300949097","0.9973782300949097","0.9973782300949097"
"163","0.9974914789199829","0.9974914789199829","0.9974914789199829"
"165","0.997641921043396","0.997641921043396","0.997641921043396"
"167","0.9975190162658691","0.9975190162658691","0.9975190162658691"
"169","0.9976229071617126","0.9976229071617126","0.9976229071617126"
"171","0.9975512623786926","0.9975512623786926","0.9975512623786926"
"173","0.9974932074546814","0.9974932074546814","0.9974932074546814"
"177","0.997242271900177","0.997242271900177","0.997242271900177"
"179","0.997316837310791","0.997316837310791","0.997316837310791"
"181","0.9975250363349915","0.9975250363349915","0.9975250363349915"
"183","0.9973461627960205","0.9973461627960205","0.9973461627960205"
"185","0.9974641799926758","0.9974641799926758","0.9974641799926758"
"187","0.9973926544189453","0.9973926544189453","0.9973926544189453"
"189","0.9973339438438416","0.9973339438438416","0.9973339438438416"
"193","0.9970840811729431","0.9970840811729431","0.9970840811729431"
"195","0.997120201587677","0.997120201587677","0.997120201587677"
"197","0.9973954558372498","0.9973954558372498","0.9973954558372498"
"199","0.9971538186073303","0.9971538186073303","0.9971538186073303"
"201","0.9972872138023376","0.9972872138023376","0.9972872138023376"
"203","0.9972139000892639","0.9972139000892639","0.9972139000892639"
"205","0.9971480965614319","0.9971480965614319","0.9971480965614319"
"209","0.9969053268432617","0.9969053268432617","0.9969053268432617"
"211","0.9968956112861633","0.9968956112861633","0.9968956112861633"
"213","0.9972344040870667","0.9972344040870667","0.9972344040870667"
"215","0.996931254863739","0.996931254863739","0.996931254863739"
"217","0.9970777630805969","0.9970777630805969","0.9970777630805969"
"219","0.9970030784606934","0.9970030784606934","0.9970030784606934"
"221","0.9969316124916077","0.9969316124916077","0.9969316124916077"
"225","0.9966933727264404","0.9966933727264404","0.9966933727264404"
"227","0.9966423511505127","0.9966423511505127","0.9966423511505127"
"229","0.9970441460609436","0.9970441460609436","0.9970441460609436"
"231","0.9966838359832764","0.9966838359832764","0.9966838359832764"
"233","0.9968377351760864","0.9968377351760864","0.9968377351760864"
"235","0.9967654943466187","0.9967654943466187","0.9967654943466187"
"237","0.9966922402381897","0.9966922402381897","0.9966922402381897"
"241","0.9964611530303955","0.9964611530303955","0.9964611530303955"
"243","0.9963668584823608","0.9963668584823608","0.9963668584823608"
"245","0.996834397315979","0.996834397315979","0.996834397315979"
"247","0.9964198470115662","0.9964198470115662","0.9964198470115662"
"249","0.9965781569480896","0.9965781569480896","0.9965781569480896"
"251","0.9965032935142517","0.9965032935142517","0.9965032935142517"
"253","0.9964281916618347","0.9964281916618347","0.9964281916618347"
"257","0.9962003231048584","0.9962003231048584","0.9962003231048584"
"259","0.9960611462593079","0.9960611462593079","0.9960611462593079"
"261","0.9965999126434326","0.9965999126434326","0.9965999126434326"
"263","0.9961320161819458","0.9961320161819458","0.9961320161819458"
"265","0.9962916374206543","0.9962916374206543","0.9962916374206543"
"267","0.9962207674980164","0.9962207674980164","0.9962207674980164"
"269","0.9961351752281189","0.9961351752281189","0.9961351752281189"
"273","0.9959144592285156","0.9959144592285156","0.9959144592285156"
"275","0.9957283735275269","0.9957283735275269","0.9957283735275269"
"277","0.9963408708572388","0.9963408708572388","0.9963408708572388"
"279","0.9958202242851257","0.9958202242851257","0.9958202242851257"
"281","0.9959794878959656","0.9959794878959656","0.9959794878959656"
"283","0.9959130883216858","0.9959130883216858","0.9959130883216858"
"285","0.9958148002624512","0.9958148002624512","0.9958148002624512"
"289","0.9956027269363403","0.9956027269363403","0.9956027269363403"
"291","0.9953740239143372","0.9953740239143372","0.9953740239143372"
"293","0.9960591197013855","0.9960591197013855","0.9960591197013855"
"295","0.9954862594604492","0.9954862594604492","0.9954862594604492"
"297","0.9956476092338562","0.9956476092338562","0.9956476092338562"
"299","0.9955817461013794","0.9955817461013794","0.9955817461013794"
"301","0.9954770803451538","0.9954770803451538","0.9954770803451538"
"305","0.9952691197395325","0.9952691197395325","0.9952691197395325"
"307","0.9949973821640015","0.9949973821640015","0.9949973821640015"
"309","0.9957498908042908","0.9957498908042908","0.9957498908042908"
"311","0.9951285123825073","0.9951285123825073","0.9951285123825073"
"313","0.9952834844589233","0.9952834844589233","0.9952834844589233"
"315","0.9952234625816345","0.9952234625816345","0.9952234625816345"
"317","0.9951058030128479","0.9951058030128479","0.9951058030128479"
"321","0.9949045777320862","0.9949045777320862","0.9949045777320862"
"323","0.9945921897888184","0.9945921897888184","0.9945921897888184"
"325","0.995413601398468","0.995413601398468","0.995413601398468"
"327","0.994742214679718","0.994742214679718","0.994742214679718"
"329","0.9948908090591431","0.9948908090591431","0.9948908090591431"
"331","0.9948331117630005","0.9948331117630005","0.9948331117630005"
"333","0.9947038292884827","0.9947038292884827","0.9947038292884827"
"337","0.9945139288902283","0.9945139288902283","0.9945139288902283"
"339","0.994157612323761","0.994157612323761","0.994157612323761"
"341","0.995052695274353","0.995052695274353","0.995052695274353"
"343","0.9943377375602722","0.9943377375602722","0.9943377375602722"
"345","0.9944767951965332","0.9944767951965332","0.9944767951965332"
"347","0.9944265484809875","0.9944265484809875","0.9944265484809875"
"349","0.9942800402641296","0.9942800402641296","0.9942800402641296"
"353","0.9941042065620422","0.9941042065620422","0.9941042065620422"
"355","0.9937048554420471","0.9937048554420471","0.9937048554420471"
"357","0.9946706295013428","0.9946706295013428","0.9946706295013428"
"359","0.9939126968383789","0.9939126968383789","0.9939126968383789"
"361","0.9940381050109863","0.9940381050109863","0.9940381050109863"
"363","0.9939973950386047","0.9939973950386047","0.9939973950386047"
"365","0.993831992149353","0.993831992149353","0.993831992149353"
"369","0.9936657547950745","0.9936657547950745","0.9936657547950745"
"371","0.9932149648666382","0.9932149648666382","0.9932149648666382"
"373","0.9942561388015747","0.9942561388015747","0.9942561388015747"
"375","0.9934524893760681","0.9934524893760681","0.9934524893760681"
"377","0.993558943271637","0.993558943271637","0.993558943271637"
"379","0.9935209155082703","0.9935209155082703","0.9935209155082703"
"381","0.9933397173881531","0.9933397173881531","0.9933397173881531"
"385","0.9931880235671997","0.9931880235671997","0.9931880235671997"
"387","0.9926903247833252","0.9926903247833252","0.9926903247833252"
"389","0.9938114881515503","0.9938114881515503","0.9938114881515503"
"391","0.9929646253585815","0.9929646253585815","0.9929646253585815"
"393","0.9930540323257446","0.9930540323257446","0.9930540323257446"
"395","0.9930233359336853","0.9930233359336853","0.9930233359336853"
"397","0.9928227663040161","0.9928227663040161","0.9928227663040161"
"401","0.992684543132782","0.992684543132782","0.992684543132782"
"403","0.9921402335166931","0.9921402335166931","0.9921402335166931"
"405","0.993341326713562","0.993341326713562","0.993341326713562"
"407","0.9924536347389221","0.9924536347389221","0.9924536347389221"
"409","0.9925184845924377","0.9925184845924377","0.9925184845924377"
"411","0.9924924373626709","0.9924924373626709","0.9924924373626709"
"413","0.9922735691070557","0.9922735691070557","0.9922735691070557"
"417","0.9921446442604065","0.9921446442604065","0.9921446442604065"
"419","0.9915547966957092","0.9915547966957092","0.9915547966957092"
"421","0.9928379654884338","0.9928379654884338","0.9928379654884338"
"423","0.9919131398200989","0.9919131398200989","0.9919131398200989"
"425","0.9919514656066895","0.9919514656066895","0.9919514656066895"
"427","0.9919328689575195","0.9919328689575195","0.9919328689575195"
"429","0.9916958212852478","0.9916958212852478","0.9916958212852478"
"433","0.9915761947631836","0.9915761947631836","0.9915761947631836"
"435","0.9909490942955017","0.9909490942955017","0.9909490942955017"
"437","0.9923173189163208","0.9923173189163208","0.9923173189163208"
"439","0.9913491606712341","0.9913491606712341","0.9913491606712341"
"441","0.9913610219955444","0.9913610219955444","0.9913610219955444"
"443","0.9913511276245117","0.9913511276245117","0.9913511276245117"
"445","0.9910867214202881","0.9910867214202881","0.9910867214202881"
"449","0.9909766316413879","0.9909766316413879","0.9909766316413879"
"451","0.9903015494346619","0.9903015494346619","0.9903015494346619"
"453","0.9917587637901306","0.9917587637901306","0.9917587637901306"
"455","0.9907468557357788","0.9907468557357788","0.9907468557357788"
"457","0.9907357692718506","0.9907357692718506","0.9907357692718506"
"459","0.9907347559928894","0.9907347559928894","0.9907347559928894"
"461","0.9904419183731079","0.9904419183731079","0.9904419183731079"
"465","0.9903484582901001","0.9903484582901001","0.9903484582901001"
"467","0.9896275401115417","0.9896275401115417","0.9896275401115417"
"469","0.9911733269691467","0.9911733269691467","0.9911733269691467"
"471","0.990125834941864","0.990125834941864","0.990125834941864"
"473","0.9900798797607422","0.9900798797607422","0.9900798797607422"
"475","0.9900978803634644","0.9900978803634644","0.9900978803634644"
"477","0.9897739291191101","0.9897739291191101","0.9897739291191101"
"481","0.9897002577781677","0.9897002577781677","0.9897002577781677"
"483","0.9889258742332458","0.9889258742332458","0.9889258742332458"
"485","0.9905581474304199","0.9905581474304199","0.9905581474304199"
"487","0.9894766211509705","0.9894766211509705","0.9894766211509705"
"489","0.9893885254859924","0.9893885254859924","0.9893885254859924"
"491","0.989427924156189","0.989427924156189","0.989427924156189"
"493","0.9890748858451843","0.9890748858451843","0.9890748858451843"
"497","0.9890198707580566","0.9890198707580566","0.9890198707580566"
"499","0.9881919622421265","0.9881919622421265","0.9881919622421265"
"501","0.9899117350578308","0.9899117350578308","0.9899117350578308"
"503","0.988798975944519","0.988798975944519","0.988798975944519"
"505","0.9886677861213684","0.9886677861213684","0.9886677861213684"
"507","0.9887329936027527","0.9887329936027527","0.9887329936027527"
"509","0.9883419871330261","0.9883419871330261","0.9883419871330261"
"513","0.9883082509040833","0.9883082509040833","0.9883082509040833"
"515","0.9874329566955566","0.9874329566955566","0.9874329566955566"
"517","0.9892402291297913","0.9892402291297913","0.9892402291297913"
"519","0.9880945682525635","0.9880945682525635","0.9880945682525635"
"521","0.987924337387085","0.987924337387085","0.987924337387085"
"523","0.9880028963088989","0.9880028963088989","0.9880028963088989"
"525","0.987576961517334","0.987576961517334","0.987576961517334"
"529","0.9875513315200806","0.9875513315200806","0.9875513315200806"
"531","0.9866311550140381","0.9866311550140381","0.9866311550140381"
"533","0.9885298609733582","0.9885298609733582","0.9885298609733582"
"535","0.9873539209365845","0.9873539209365845","0.9873539209365845"
"537","0.9871385097503662","0.9871385097503662","0.9871385097503662"
"539","0.9872370362281799","0.9872370362281799","0.9872370362281799"
"541","0.9867782592773438","0.9867782592773438","0.9867782592773438"
"545","0.9867754578590393","0.9867754578590393","0.9867754578590393"
"547","0.9858103394508362","0.9858103394508362","0.9858103394508362"
"549","0.987799882888794","0.987799882888794","0.987799882888794"
"551","0.9865909218788147","0.9865909218788147","0.9865909218788147"
"553","0.9863308668136597","0.9863308668136597","0.9863308668136597"
"555","0.9864362478256226","0.9864362478256226","0.9864362478256226"
"557","0.9859393835067749","0.9859393835067749","0.9859393835067749"
"561","0.985958456993103","0.985958456993103","0.985958456993103"
"563","0.984941303730011","0.984941303730011","0.984941303730011"
"565","0.9870288968086243","0.9870288968086243","0.9870288968086243"
"567","0.9857860207557678","0.9857860207557678","0.9857860207557678"
"569","0.9854888319969177","0.9854888319969177","0.9854888319969177"
"571","0.9856061339378357","0.9856061339378357","0.9856061339378357"
"573","0.985069990158081","0.985069990158081","0.985069990158081"
"577","0.9851254224777222","0.9851254224777222","0.9851254224777222"
"579","0.9840527772903442","0.9840527772903442","0.9840527772903442"
"581","0.9862430095672607","0.9862430095672607","0.9862430095672607"
"583","0.9849694967269897","0.9849694967269897","0.9849694967269897"
"585","0.9846247434616089","0.9846247434616089","0.9846247434616089"
"587","0.9847546815872192","0.9847546815872192","0.9847546815872192"
"589","0.9841803312301636","0.9841803312301636","0.9841803312301636"
