"Step","cosmic-sweep-4 - mean_entropy_1","cosmic-sweep-4 - mean_entropy_1__MIN","cosmic-sweep-4 - mean_entropy_1__MAX"
"1","0.997590959072113","0.997590959072113","0.997590959072113"
"3","0.9964618682861328","0.9964618682861328","0.9964618682861328"
"5","0.995948314666748","0.995948314666748","0.995948314666748"
"7","0.9952519536018372","0.9952519536018372","0.9952519536018372"
"9","0.9949723482131958","0.9949723482131958","0.9949723482131958"
"11","0.9945337176322937","0.9945337176322937","0.9945337176322937"
"13","0.9947109222412109","0.9947109222412109","0.9947109222412109"
"15","0.9939783811569214","0.9939783811569214","0.9939783811569214"
"17","0.9935266375541687","0.9935266375541687","0.9935266375541687"
"19","0.9932349324226379","0.9932349324226379","0.9932349324226379"
"21","0.992764949798584","0.992764949798584","0.992764949798584"
"23","0.9926465153694153","0.9926465153694153","0.9926465153694153"
"25","0.9922448396682739","0.9922448396682739","0.9922448396682739"
"27","0.9916832447052002","0.9916832447052002","0.9916832447052002"
"29","0.9917758703231812","0.9917758703231812","0.9917758703231812"
"31","0.9915794730186462","0.9915794730186462","0.9915794730186462"
"33","0.9908545017242432","0.9908545017242432","0.9908545017242432"
"35","0.9897679686546326","0.9897679686546326","0.9897679686546326"
"37","0.9904389381408691","0.9904389381408691","0.9904389381408691"
"39","0.9888680577278137","0.9888680577278137","0.9888680577278137"
"41","0.9898545742034912","0.9898545742034912","0.9898545742034912"
"181","0.9929410815238953","0.9929410815238953","0.9929410815238953"
"183","0.9912710189819336","0.9912710189819336","0.9912710189819336"
"185","0.9906302690505981","0.9906302690505981","0.9906302690505981"
"187","0.9896256327629089","0.9896256327629089","0.9896256327629089"
"189","0.9889537692070007","0.9889537692070007","0.9889537692070007"
"191","0.9884270429611206","0.9884270429611206","0.9884270429611206"
"193","0.988598644733429","0.988598644733429","0.988598644733429"
"195","0.9873366951942444","0.9873366951942444","0.9873366951942444"
"197","0.986579418182373","0.986579418182373","0.986579418182373"
"199","0.9860421419143677","0.9860421419143677","0.9860421419143677"
