"Step","cosmic-sweep-4 - mean_entropy_0","cosmic-sweep-4 - mean_entropy_0__MIN","cosmic-sweep-4 - mean_entropy_0__MAX"
"1","0.9975743889808655","0.9975743889808655","0.9975743889808655"
"3","0.9963507056236267","0.9963507056236267","0.9963507056236267"
"5","0.9958654642105103","0.9958654642105103","0.9958654642105103"
"7","0.9951103329658508","0.9951103329658508","0.9951103329658508"
"9","0.9947407841682434","0.9947407841682434","0.9947407841682434"
"11","0.9943721294403076","0.9943721294403076","0.9943721294403076"
"13","0.9944818019866943","0.9944818019866943","0.9944818019866943"
"15","0.9937469959259033","0.9937469959259033","0.9937469959259033"
"17","0.9933491945266724","0.9933491945266724","0.9933491945266724"
"19","0.9930452108383179","0.9930452108383179","0.9930452108383179"
"21","0.9926043748855591","0.9926043748855591","0.9926043748855591"
"23","0.9928673505783081","0.9928673505783081","0.9928673505783081"
"25","0.9924733638763428","0.9924733638763428","0.9924733638763428"
"27","0.991644561290741","0.991644561290741","0.991644561290741"
"29","0.9916331171989441","0.9916331171989441","0.9916331171989441"
"31","0.99165940284729","0.99165940284729","0.99165940284729"
"33","0.9908644556999207","0.9908644556999207","0.9908644556999207"
"35","0.9901416897773743","0.9901416897773743","0.9901416897773743"
"37","0.9905311465263367","0.9905311465263367","0.9905311465263367"
"39","0.9895082712173462","0.9895082712173462","0.9895082712173462"
"41","0.9901900291442871","0.9901900291442871","0.9901900291442871"
"43","0.9904230833053589","0.9904230833053589","0.9904230833053589"
"45","0.990074634552002","0.990074634552002","0.990074634552002"
"47","0.9889923334121704","0.9889923334121704","0.9889923334121704"
"49","0.9892988801002502","0.9892988801002502","0.9892988801002502"
"51","0.9894431233406067","0.9894431233406067","0.9894431233406067"
"53","0.9889110922813416","0.9889110922813416","0.9889110922813416"
"55","0.9888651967048645","0.9888651967048645","0.9888651967048645"
"57","0.9897412061691284","0.9897412061691284","0.9897412061691284"
"59","0.9889665842056274","0.9889665842056274","0.9889665842056274"
"61","0.9891214370727539","0.9891214370727539","0.9891214370727539"
"63","0.9890938997268677","0.9890938997268677","0.9890938997268677"
"65","0.9888999462127686","0.9888999462127686","0.9888999462127686"
"67","0.9892520308494568","0.9892520308494568","0.9892520308494568"
"69","0.9888774156570435","0.9888774156570435","0.9888774156570435"
"71","0.9888349771499634","0.9888349771499634","0.9888349771499634"
"73","0.9893222451210022","0.9893222451210022","0.9893222451210022"
"75","0.9895643591880798","0.9895643591880798","0.9895643591880798"
"77","0.9894379377365112","0.9894379377365112","0.9894379377365112"
"79","0.9886251091957092","0.9886251091957092","0.9886251091957092"
