"Step","cosmic-sweep-4 - std_entropy_0","cosmic-sweep-4 - std_entropy_0__MIN","cosmic-sweep-4 - std_entropy_0__MAX"
"1","0.001835944945923984","0.001835944945923984","0.001835944945923984"
"3","0.00228077988140285","0.00228077988140285","0.00228077988140285"
"5","0.002503790194168687","0.002503790194168687","0.002503790194168687"
"7","0.002706766128540039","0.002706766128540039","0.002706766128540039"
"9","0.0026417190674692392","0.0026417190674692392","0.0026417190674692392"
"11","0.002986857434734702","0.002986857434734702","0.002986857434734702"
"13","0.002851601457223296","0.002851601457223296","0.002851601457223296"
"15","0.003193583572283387","0.003193583572283387","0.003193583572283387"
"17","0.0032583673018962145","0.0032583673018962145","0.0032583673018962145"
"19","0.0029358798637986183","0.0029358798637986183","0.0029358798637986183"
"21","0.003374365856871009","0.003374365856871009","0.003374365856871009"
"23","0.003280072472989559","0.003280072472989559","0.003280072472989559"
"25","0.003283991478383541","0.003283991478383541","0.003283991478383541"
"27","0.0037126389797776937","0.0037126389797776937","0.0037126389797776937"
"29","0.003579486394301057","0.003579486394301057","0.003579486394301057"
"31","0.004001461900770664","0.004001461900770664","0.004001461900770664"
"33","0.003858602372929454","0.003858602372929454","0.003858602372929454"
"35","0.00421774759888649","0.00421774759888649","0.00421774759888649"
"37","0.0034014300908893347","0.0034014300908893347","0.0034014300908893347"
"39","0.0038765205536037683","0.0038765205536037683","0.0038765205536037683"
"41","0.0032673559617251158","0.0032673559617251158","0.0032673559617251158"
"43","0.0037661446258425713","0.0037661446258425713","0.0037661446258425713"
"45","0.004033207893371582","0.004033207893371582","0.004033207893371582"
"47","0.004621438682079315","0.004621438682079315","0.004621438682079315"
"49","0.004116220399737358","0.004116220399737358","0.004116220399737358"
"51","0.003671875922009349","0.003671875922009349","0.003671875922009349"
"53","0.0048691811971366405","0.0048691811971366405","0.0048691811971366405"
"55","0.004552175756543875","0.004552175756543875","0.004552175756543875"
"57","0.003930741921067238","0.003930741921067238","0.003930741921067238"
"59","0.003911066334694624","0.003911066334694624","0.003911066334694624"
"61","0.0057499585673213005","0.0057499585673213005","0.0057499585673213005"
"63","0.003933608531951904","0.003933608531951904","0.003933608531951904"
"65","0.004150195047259331","0.004150195047259331","0.004150195047259331"
"67","0.004167288541793823","0.004167288541793823","0.004167288541793823"
"69","0.004861162044107914","0.004861162044107914","0.004861162044107914"
"71","0.004252491518855095","0.004252491518855095","0.004252491518855095"
"73","0.0043535055592656136","0.0043535055592656136","0.0043535055592656136"
"75","0.003912989981472492","0.003912989981472492","0.003912989981472492"
"77","0.003948805388063192","0.003948805388063192","0.003948805388063192"
"79","0.005133710335940123","0.005133710335940123","0.005133710335940123"
"81","0.004692724905908108","0.004692724905908108","0.004692724905908108"
"83","0.004066599998623133","0.004066599998623133","0.004066599998623133"
"89","0.004300672095268965","0.004300672095268965","0.004300672095268965"
"97","0.0039064520969986916","0.0039064520969986916","0.0039064520969986916"
"181","0.004467180464416742","0.004467180464416742","0.004467180464416742"
"183","0.00420353701338172","0.00420353701338172","0.00420353701338172"
"185","0.00424101110547781","0.00424101110547781","0.00424101110547781"
"187","0.004345124587416649","0.004345124587416649","0.004345124587416649"
"189","0.004181666299700737","0.004181666299700737","0.004181666299700737"
"191","0.004686486441642046","0.004686486441642046","0.004686486441642046"
"193","0.004384564235806465","0.004384564235806465","0.004384564235806465"
"195","0.004898532293736935","0.004898532293736935","0.004898532293736935"
"197","0.004702903795987368","0.004702903795987368","0.004702903795987368"
"199","0.0045000831596553326","0.0045000831596553326","0.0045000831596553326"
"201","0.005035904236137867","0.005035904236137867","0.005035904236137867"
"203","0.004828684963285923","0.004828684963285923","0.004828684963285923"
"205","0.005076603498309851","0.005076603498309851","0.005076603498309851"
"207","0.005853014066815376","0.005853014066815376","0.005853014066815376"
"209","0.005237267352640629","0.005237267352640629","0.005237267352640629"
"211","0.005841407459229231","0.005841407459229231","0.005841407459229231"
"213","0.0058471993543207645","0.0058471993543207645","0.0058471993543207645"
"215","0.005897959694266319","0.005897959694266319","0.005897959694266319"
"217","0.005215953104197979","0.005215953104197979","0.005215953104197979"
"219","0.005750005599111319","0.005750005599111319","0.005750005599111319"
"221","0.006019825581461191","0.006019825581461191","0.006019825581461191"
"223","0.005558944307267666","0.005558944307267666","0.005558944307267666"
"225","0.006184776779264212","0.006184776779264212","0.006184776779264212"
"227","0.006634460296481848","0.006634460296481848","0.006634460296481848"
"229","0.005864882376044989","0.005864882376044989","0.005864882376044989"
"231","0.005427349824458361","0.005427349824458361","0.005427349824458361"
"233","0.00697289640083909","0.00697289640083909","0.00697289640083909"
"235","0.006606768816709518","0.006606768816709518","0.006606768816709518"
"237","0.005870318040251732","0.005870318040251732","0.005870318040251732"
"239","0.005708685144782066","0.005708685144782066","0.005708685144782066"
"241","0.007909860461950302","0.007909860461950302","0.007909860461950302"
"243","0.005966360680758953","0.005966360680758953","0.005966360680758953"
"245","0.006100476253777742","0.006100476253777742","0.006100476253777742"
"247","0.006333221681416035","0.006333221681416035","0.006333221681416035"
"249","0.00699123227968812","0.00699123227968812","0.00699123227968812"
"251","0.0068194023333489895","0.0068194023333489895","0.0068194023333489895"
"253","0.008298303000628948","0.008298303000628948","0.008298303000628948"
"255","0.00805679615586996","0.00805679615586996","0.00805679615586996"
"257","0.0073322425596416","0.0073322425596416","0.0073322425596416"
"259","0.007882769219577312","0.007882769219577312","0.007882769219577312"
"261","0.006995555944740772","0.006995555944740772","0.006995555944740772"
"263","0.00561724416911602","0.00561724416911602","0.00561724416911602"
"269","0.007842213846743107","0.007842213846743107","0.007842213846743107"
"277","0.0072168391197919846","0.0072168391197919846","0.0072168391197919846"
"361","0.010170373134315014","0.010170373134315014","0.010170373134315014"
"363","0.008319882676005363","0.008319882676005363","0.008319882676005363"
"365","0.007960022427141666","0.007960022427141666","0.007960022427141666"
"367","0.007931709289550781","0.007931709289550781","0.007931709289550781"
"369","0.007343278266489506","0.007343278266489506","0.007343278266489506"
"371","0.008114544674754143","0.008114544674754143","0.008114544674754143"
"373","0.007489675655961037","0.007489675655961037","0.007489675655961037"
"375","0.008384170942008495","0.008384170942008495","0.008384170942008495"
