"Step","revived-sweep-243 - std_entropy_0","revived-sweep-243 - std_entropy_0__MIN","revived-sweep-243 - std_entropy_0__MAX"
"1","0.017984364181756973","0.017984364181756973","0.017984364181756973"
"3","0.02011759951710701","0.02011759951710701","0.02011759951710701"
"5","0.013981174677610397","0.013981174677610397","0.013981174677610397"
"7","0.03595109283924103","0.03595109283924103","0.03595109283924103"
"9","0.052432831376791","0.052432831376791","0.052432831376791"
"11","0.06322746723890305","0.06322746723890305","0.06322746723890305"
"13","0.11622375249862671","0.11622375249862671","0.11622375249862671"
"15","0.12173881381750107","0.12173881381750107","0.12173881381750107"
"17","0.15243344008922577","0.15243344008922577","0.15243344008922577"
"19","0.11223805695772171","0.11223805695772171","0.11223805695772171"
"21","0.15096506476402283","0.15096506476402283","0.15096506476402283"
"23","0.18799838423728943","0.18799838423728943","0.18799838423728943"
"25","0.1351945996284485","0.1351945996284485","0.1351945996284485"
"27","0.15159906446933746","0.15159906446933746","0.15159906446933746"
"29","0.17845270037651062","0.17845270037651062","0.17845270037651062"
"31","0.23281832039356232","0.23281832039356232","0.23281832039356232"
"33","0.24440604448318481","0.24440604448318481","0.24440604448318481"
"35","0.16560593247413635","0.16560593247413635","0.16560593247413635"
"37","0.15866242349147797","0.15866242349147797","0.15866242349147797"
"39","0.19110509753227234","0.19110509753227234","0.19110509753227234"
"41","0.21818925440311432","0.21818925440311432","0.21818925440311432"
"43","0.21480944752693176","0.21480944752693176","0.21480944752693176"
"45","0.22436504065990448","0.22436504065990448","0.22436504065990448"
"47","0.19727814197540283","0.19727814197540283","0.19727814197540283"
"49","0.19899187982082367","0.19899187982082367","0.19899187982082367"
"51","0.19718189537525177","0.19718189537525177","0.19718189537525177"
"53","0.21254214644432068","0.21254214644432068","0.21254214644432068"
"55","0.221466526389122","0.221466526389122","0.221466526389122"
"57","0.20644862949848175","0.20644862949848175","0.20644862949848175"
"59","0.2129315882921219","0.2129315882921219","0.2129315882921219"
"61","0.20875555276870728","0.20875555276870728","0.20875555276870728"
"63","0.22514845430850983","0.22514845430850983","0.22514845430850983"
"65","0.20708975195884705","0.20708975195884705","0.20708975195884705"
"67","0.24022525548934937","0.24022525548934937","0.24022525548934937"
"69","0.18655312061309814","0.18655312061309814","0.18655312061309814"
"71","0.20116892457008362","0.20116892457008362","0.20116892457008362"
"73","0.21905213594436646","0.21905213594436646","0.21905213594436646"
"75","0.17927570641040802","0.17927570641040802","0.17927570641040802"
"77","0.18276891112327576","0.18276891112327576","0.18276891112327576"
"79","0.19777029752731323","0.19777029752731323","0.19777029752731323"
"81","0.21186597645282745","0.21186597645282745","0.21186597645282745"
"83","0.2104862630367279","0.2104862630367279","0.2104862630367279"
"85","0.1830870360136032","0.1830870360136032","0.1830870360136032"
"87","0.16728685796260834","0.16728685796260834","0.16728685796260834"
"89","0.18619033694267273","0.18619033694267273","0.18619033694267273"
"91","0.20452885329723358","0.20452885329723358","0.20452885329723358"
"93","0.18889880180358887","0.18889880180358887","0.18889880180358887"
"95","0.20602302253246307","0.20602302253246307","0.20602302253246307"
"97","0.18730024993419647","0.18730024993419647","0.18730024993419647"
