"Step","revived-sweep-243 - mean_entropy_1","revived-sweep-243 - mean_entropy_1__MIN","revived-sweep-243 - mean_entropy_1__MAX"
"1","0.997198760509491","0.997198760509491","0.997198760509491"
"3","0.9980812072753906","0.9980812072753906","0.9980812072753906"
"5","0.995289146900177","0.995289146900177","0.995289146900177"
"7","0.9912759065628052","0.9912759065628052","0.9912759065628052"
"9","0.9818251729011536","0.9818251729011536","0.9818251729011536"
"11","0.967958927154541","0.967958927154541","0.967958927154541"
"13","0.947931706905365","0.947931706905365","0.947931706905365"
"15","0.9366315603256226","0.9366315603256226","0.9366315603256226"
"17","0.9198213815689087","0.9198213815689087","0.9198213815689087"
"19","0.9242447018623352","0.9242447018623352","0.9242447018623352"
"21","0.8766347169876099","0.8766347169876099","0.8766347169876099"
"23","0.8655215501785278","0.8655215501785278","0.8655215501785278"
"25","0.8477082848548889","0.8477082848548889","0.8477082848548889"
"27","0.8195646405220032","0.8195646405220032","0.8195646405220032"
"29","0.7991204857826233","0.7991204857826233","0.7991204857826233"
"31","0.7287159562110901","0.7287159562110901","0.7287159562110901"
"33","0.7243124842643738","0.7243124842643738","0.7243124842643738"
"35","0.7574604153633118","0.7574604153633118","0.7574604153633118"
"37","0.7677228450775146","0.7677228450775146","0.7677228450775146"
"39","0.6909844875335693","0.6909844875335693","0.6909844875335693"
"41","0.6613619923591614","0.6613619923591614","0.6613619923591614"
"43","0.6458361148834229","0.6458361148834229","0.6458361148834229"
"45","0.6062891483306885","0.6062891483306885","0.6062891483306885"
"47","0.656708836555481","0.656708836555481","0.656708836555481"
"49","0.7125384211540222","0.7125384211540222","0.7125384211540222"
"51","0.6199491620063782","0.6199491620063782","0.6199491620063782"
"53","0.5827721357345581","0.5827721357345581","0.5827721357345581"
"55","0.5827443599700928","0.5827443599700928","0.5827443599700928"
"57","0.4970724284648895","0.4970724284648895","0.4970724284648895"
"59","0.5077537894248962","0.5077537894248962","0.5077537894248962"
"61","0.5472491383552551","0.5472491383552551","0.5472491383552551"
"63","0.506557822227478","0.506557822227478","0.506557822227478"
"65","0.5166687965393066","0.5166687965393066","0.5166687965393066"
"67","0.4730285406112671","0.4730285406112671","0.4730285406112671"
"69","0.5302765369415283","0.5302765369415283","0.5302765369415283"
"71","0.5009896755218506","0.5009896755218506","0.5009896755218506"
"73","0.45163077116012573","0.45163077116012573","0.45163077116012573"
"75","0.5513052344322205","0.5513052344322205","0.5513052344322205"
"77","0.5127080678939819","0.5127080678939819","0.5127080678939819"
"79","0.4818262457847595","0.4818262457847595","0.4818262457847595"
"81","0.39280784130096436","0.39280784130096436","0.39280784130096436"
"83","0.37976139783859253","0.37976139783859253","0.37976139783859253"
"85","0.5185617208480835","0.5185617208480835","0.5185617208480835"
"87","0.48442181944847107","0.48442181944847107","0.48442181944847107"
"89","0.4391384422779083","0.4391384422779083","0.4391384422779083"
"91","0.4503368139266968","0.4503368139266968","0.4503368139266968"
"93","0.42059266567230225","0.42059266567230225","0.42059266567230225"
"95","0.3677792549133301","0.3677792549133301","0.3677792549133301"
"97","0.41592830419540405","0.41592830419540405","0.41592830419540405"
"99","0.49962157011032104","0.49962157011032104","0.49962157011032104"
"101","0.41715413331985474","0.41715413331985474","0.41715413331985474"
"103","0.40050747990608215","0.40050747990608215","0.40050747990608215"
"105","0.40762993693351746","0.40762993693351746","0.40762993693351746"
"107","0.3151417076587677","0.3151417076587677","0.3151417076587677"
"109","0.34184107184410095","0.34184107184410095","0.34184107184410095"
"111","0.4074607789516449","0.4074607789516449","0.4074607789516449"
"113","0.3691885471343994","0.3691885471343994","0.3691885471343994"
"115","0.36389079689979553","0.36389079689979553","0.36389079689979553"
"117","0.34848251938819885","0.34848251938819885","0.34848251938819885"
"119","0.4102717339992523","0.4102717339992523","0.4102717339992523"
"121","0.36621594429016113","0.36621594429016113","0.36621594429016113"
"123","0.33346056938171387","0.33346056938171387","0.33346056938171387"
"125","0.40898603200912476","0.40898603200912476","0.40898603200912476"
"127","0.3832658529281616","0.3832658529281616","0.3832658529281616"
"129","0.3572746515274048","0.3572746515274048","0.3572746515274048"
"131","0.29194724559783936","0.29194724559783936","0.29194724559783936"
"133","0.2989666759967804","0.2989666759967804","0.2989666759967804"
"135","0.4161093533039093","0.4161093533039093","0.4161093533039093"
"137","0.407113641500473","0.407113641500473","0.407113641500473"
"139","0.37296220660209656","0.37296220660209656","0.37296220660209656"
"141","0.3493709862232208","0.3493709862232208","0.3493709862232208"
"143","0.32094091176986694","0.32094091176986694","0.32094091176986694"
"145","0.3371703326702118","0.3371703326702118","0.3371703326702118"
"147","0.335625559091568","0.335625559091568","0.335625559091568"
"149","0.49208274483680725","0.49208274483680725","0.49208274483680725"
"151","0.35678330063819885","0.35678330063819885","0.35678330063819885"
"153","0.3448907136917114","0.3448907136917114","0.3448907136917114"
