"Step","confused-sky-1003 - mean_entropy_0","confused-sky-1003 - mean_entropy_0__MIN","confused-sky-1003 - mean_entropy_0__MAX"
"1","0.9970496296882629","0.9970496296882629","0.9970496296882629"
"3","0.9969562292098999","0.9969562292098999","0.9969562292098999"
"5","0.9976057410240173","0.9976057410240173","0.9976057410240173"
"7","0.997742772102356","0.997742772102356","0.997742772102356"
"9","0.9972740411758423","0.9972740411758423","0.9972740411758423"
"11","0.9977949857711792","0.9977949857711792","0.9977949857711792"
"13","0.9974663257598877","0.9974663257598877","0.9974663257598877"
"17","0.9972636699676514","0.9972636699676514","0.9972636699676514"
"19","0.9971466064453125","0.9971466064453125","0.9971466064453125"
"21","0.9977664947509766","0.9977664947509766","0.9977664947509766"
"23","0.9978899359703064","0.9978899359703064","0.9978899359703064"
"25","0.9974517226219177","0.9974517226219177","0.9974517226219177"
"27","0.9979373216629028","0.9979373216629028","0.9979373216629028"
"29","0.9976311922073364","0.9976311922073364","0.9976311922073364"
"33","0.9974246621131897","0.9974246621131897","0.9974246621131897"
"35","0.9972962141036987","0.9972962141036987","0.9972962141036987"
"37","0.9978913068771362","0.9978913068771362","0.9978913068771362"
"39","0.9980063438415527","0.9980063438415527","0.9980063438415527"
"41","0.9975970983505249","0.9975970983505249","0.9975970983505249"
"43","0.9980554580688477","0.9980554580688477","0.9980554580688477"
"45","0.997772216796875","0.997772216796875","0.997772216796875"
"49","0.9975572228431702","0.9975572228431702","0.9975572228431702"
"51","0.9974220991134644","0.9974220991134644","0.9974220991134644"
"53","0.9979907870292664","0.9979907870292664","0.9979907870292664"
"55","0.9981006979942322","0.9981006979942322","0.9981006979942322"
"57","0.9977202415466309","0.9977202415466309","0.9977202415466309"
"59","0.9981530904769897","0.9981530904769897","0.9981530904769897"
"61","0.9978926181793213","0.9978926181793213","0.9978926181793213"
"65","0.9976769685745239","0.9976769685745239","0.9976769685745239"
"67","0.997534990310669","0.997534990310669","0.997534990310669"
"69","0.9980782866477966","0.9980782866477966","0.9980782866477966"
"71","0.9981866478919983","0.9981866478919983","0.9981866478919983"
"73","0.9978369474411011","0.9978369474411011","0.9978369474411011"
"75","0.9982393383979797","0.9982393383979797","0.9982393383979797"
"77","0.9980003237724304","0.9980003237724304","0.9980003237724304"
"81","0.9977865219116211","0.9977865219116211","0.9977865219116211"
"83","0.9976308941841125","0.9976308941841125","0.9976308941841125"
"85","0.9981502890586853","0.9981502890586853","0.9981502890586853"
"87","0.9982556104660034","0.9982556104660034","0.9982556104660034"
"89","0.9979337453842163","0.9979337453842163","0.9979337453842163"
"91","0.9983052611351013","0.9983052611351013","0.9983052611351013"
"93","0.9980891346931458","0.9980891346931458","0.9980891346931458"
"97","0.9978795051574707","0.9978795051574707","0.9978795051574707"
"99","0.997713565826416","0.997713565826416","0.997713565826416"
"101","0.9982079863548279","0.9982079863548279","0.9982079863548279"
"103","0.998314619064331","0.998314619064331","0.998314619064331"
"105","0.9980180859565735","0.9980180859565735","0.9980180859565735"
"107","0.9983603358268738","0.9983603358268738","0.9983603358268738"
"109","0.9981642365455627","0.9981642365455627","0.9981642365455627"
"113","0.9979571104049683","0.9979571104049683","0.9979571104049683"
"115","0.9977820515632629","0.9977820515632629","0.9977820515632629"
"117","0.9982537031173706","0.9982537031173706","0.9982537031173706"
"119","0.9983612298965454","0.9983612298965454","0.9983612298965454"
"121","0.9980894923210144","0.9980894923210144","0.9980894923210144"
"123","0.9983999729156494","0.9983999729156494","0.9983999729156494"
"125","0.9982245564460754","0.9982245564460754","0.9982245564460754"
"129","0.9980244040489197","0.9980244040489197","0.9980244040489197"
"131","0.9978388547897339","0.9978388547897339","0.9978388547897339"
"133","0.9982868432998657","0.9982868432998657","0.9982868432998657"
"135","0.9983969926834106","0.9983969926834106","0.9983969926834106"
