"Step","confused-sky-1003 - mean_entropy_1","confused-sky-1003 - mean_entropy_1__MIN","confused-sky-1003 - mean_entropy_1__MAX"
"1","0.9986862540245056","0.9986862540245056","0.9986862540245056"
"3","0.9988083243370056","0.9988083243370056","0.9988083243370056"
"5","0.9987979531288147","0.9987979531288147","0.9987979531288147"
"7","0.998894214630127","0.998894214630127","0.998894214630127"
"9","0.9989860653877258","0.9989860653877258","0.9989860653877258"
"11","0.998960554599762","0.998960554599762","0.998960554599762"
"13","0.9988651871681213","0.9988651871681213","0.9988651871681213"
"17","0.9989670515060425","0.9989670515060425","0.9989670515060425"
"19","0.9990718364715576","0.9990718364715576","0.9990718364715576"
"21","0.9989728331565857","0.9989728331565857","0.9989728331565857"
"23","0.9990615844726562","0.9990615844726562","0.9990615844726562"
"25","0.9988756775856018","0.9988756775856018","0.9988756775856018"
"27","0.9989913702011108","0.9989913702011108","0.9989913702011108"
"29","0.9989924430847168","0.9989924430847168","0.9989924430847168"
"33","0.9991110563278198","0.9991110563278198","0.9991110563278198"
"35","0.9991536140441895","0.9991536140441895","0.9991536140441895"
"37","0.9989824891090393","0.9989824891090393","0.9989824891090393"
"39","0.9990353584289551","0.9990353584289551","0.9990353584289551"
"41","0.9989235401153564","0.9989235401153564","0.9989235401153564"
"43","0.9989844560623169","0.9989844560623169","0.9989844560623169"
"45","0.9989578723907471","0.9989578723907471","0.9989578723907471"
"49","0.9990771412849426","0.9990771412849426","0.9990771412849426"
"51","0.9991194605827332","0.9991194605827332","0.9991194605827332"
"53","0.9992058277130127","0.9992058277130127","0.9992058277130127"
"55","0.99915611743927","0.99915611743927","0.99915611743927"
"57","0.9991287589073181","0.9991287589073181","0.9991287589073181"
"59","0.9991487860679626","0.9991487860679626","0.9991487860679626"
"61","0.9991231560707092","0.9991231560707092","0.9991231560707092"
"65","0.9990530610084534","0.9990530610084534","0.9990530610084534"
"67","0.9991326928138733","0.9991326928138733","0.9991326928138733"
"69","0.9992029070854187","0.9992029070854187","0.9992029070854187"
"71","0.9991465210914612","0.9991465210914612","0.9991465210914612"
"73","0.9992507100105286","0.9992507100105286","0.9992507100105286"
"75","0.9992294907569885","0.9992294907569885","0.9992294907569885"
"77","0.9991143941879272","0.9991143941879272","0.9991143941879272"
"81","0.9991151690483093","0.9991151690483093","0.9991151690483093"
"83","0.9991565346717834","0.9991565346717834","0.9991565346717834"
"85","0.9992125630378723","0.9992125630378723","0.9992125630378723"
"87","0.9992281794548035","0.9992281794548035","0.9992281794548035"
"89","0.9992470741271973","0.9992470741271973","0.9992470741271973"
"91","0.9993053674697876","0.9993053674697876","0.9993053674697876"
"93","0.9992176294326782","0.9992176294326782","0.9992176294326782"
"97","0.9992024898529053","0.9992024898529053","0.9992024898529053"
"99","0.9991203546524048","0.9991203546524048","0.9991203546524048"
"101","0.9992390871047974","0.9992390871047974","0.9992390871047974"
"103","0.999323844909668","0.999323844909668","0.999323844909668"
"105","0.9991536140441895","0.9991536140441895","0.9991536140441895"
"107","0.9993470311164856","0.9993470311164856","0.9993470311164856"
