"Step","robust-dream-992 - mean_entropy_0","robust-dream-992 - mean_entropy_0__MIN","robust-dream-992 - mean_entropy_0__MAX"
"1","0.9979974031448364","0.9979974031448364","0.9979974031448364"
"3","0.9884360432624817","0.9884360432624817","0.9884360432624817"
"5","0.9747678637504578","0.9747678637504578","0.9747678637504578"
"7","0.9550083875656128","0.9550083875656128","0.9550083875656128"
"9","0.9190272092819214","0.9190272092819214","0.9190272092819214"
"11","0.8872852921485901","0.8872852921485901","0.8872852921485901"
"13","0.8300138711929321","0.8300138711929321","0.8300138711929321"
"15","0.8162904977798462","0.8162904977798462","0.8162904977798462"
"17","0.7721608877182007","0.7721608877182007","0.7721608877182007"
"19","0.7010489702224731","0.7010489702224731","0.7010489702224731"
"21","0.6591358184814453","0.6591358184814453","0.6591358184814453"
"23","0.5766329169273376","0.5766329169273376","0.5766329169273376"
"25","0.585924506187439","0.585924506187439","0.585924506187439"
"27","0.5341649055480957","0.5341649055480957","0.5341649055480957"
"29","0.4564301669597626","0.4564301669597626","0.4564301669597626"
"31","0.4222327470779419","0.4222327470779419","0.4222327470779419"
"33","0.34448885917663574","0.34448885917663574","0.34448885917663574"
"35","0.3720393478870392","0.3720393478870392","0.3720393478870392"
"37","0.3268444836139679","0.3268444836139679","0.3268444836139679"
"39","0.26306167244911194","0.26306167244911194","0.26306167244911194"
"41","0.24397094547748566","0.24397094547748566","0.24397094547748566"
"43","0.18585801124572754","0.18585801124572754","0.18585801124572754"
"45","0.21813040971755981","0.21813040971755981","0.21813040971755981"
"47","0.18422570824623108","0.18422570824623108","0.18422570824623108"
"49","0.1403716653585434","0.1403716653585434","0.1403716653585434"
"51","0.13407491147518158","0.13407491147518158","0.13407491147518158"
"53","0.09609286487102509","0.09609286487102509","0.09609286487102509"
"55","0.12367820739746094","0.12367820739746094","0.12367820739746094"
"57","0.09958009421825409","0.09958009421825409","0.09958009421825409"
"59","0.07268042862415314","0.07268042862415314","0.07268042862415314"
"61","0.07341425120830536","0.07341425120830536","0.07341425120830536"
"63","0.05025593191385269","0.05025593191385269","0.05025593191385269"
"65","0.0701741948723793","0.0701741948723793","0.0701741948723793"
"67","0.05323267728090286","0.05323267728090286","0.05323267728090286"
"69","0.03781150281429291","0.03781150281429291","0.03781150281429291"
"71","0.04129333794116974","0.04129333794116974","0.04129333794116974"
"73","0.027547433972358704","0.027547433972358704","0.027547433972358704"
"75","0.04070129618048668","0.04070129618048668","0.04070129618048668"
"77","0.028813105076551437","0.028813105076551437","0.028813105076551437"
"79","0.020307160913944244","0.020307160913944244","0.020307160913944244"
"81","0.024280622601509094","0.024280622601509094","0.024280622601509094"
"83","0.01610792614519596","0.01610792614519596","0.01610792614519596"
"85","0.024467438459396362","0.024467438459396362","0.024467438459396362"
"87","0.016081655398011208","0.016081655398011208","0.016081655398011208"
"89","0.011459394358098507","0.011459394358098507","0.011459394358098507"
"91","0.015035409480333328","0.015035409480333328","0.015035409480333328"
"93","0.010095044039189816","0.010095044039189816","0.010095044039189816"
"95","0.015375668182969093","0.015375668182969093","0.015375668182969093"
"97","0.009418240748345852","0.009418240748345852","0.009418240748345852"
"99","0.006892695557326078","0.006892695557326078","0.006892695557326078"
"101","0.009874299168586731","0.009874299168586731","0.009874299168586731"
"103","0.006799693219363689","0.006799693219363689","0.006799693219363689"
"105","0.010252509266138077","0.010252509266138077","0.010252509266138077"
"107","0.005896898917853832","0.005896898917853832","0.005896898917853832"
"109","0.0044782147742807865","0.0044782147742807865","0.0044782147742807865"
"111","0.006921594031155109","0.006921594031155109","0.006921594031155109"
"113","0.004924537148326635","0.004924537148326635","0.004924537148326635"
"115","0.007308496627956629","0.007308496627956629","0.007308496627956629"
"117","0.003997808322310448","0.003997808322310448","0.003997808322310448"
"119","0.0031697480008006096","0.0031697480008006096","0.0031697480008006096"
"121","0.0052201650105416775","0.0052201650105416775","0.0052201650105416775"
"123","0.0038487184792757034","0.0038487184792757034","0.0038487184792757034"
"125","0.005659551825374365","0.005659551825374365","0.005659551825374365"
"127","0.0030075418762862682","0.0030075418762862682","0.0030075418762862682"
"129","0.0024909372441470623","0.0024909372441470623","0.0024909372441470623"
"131","0.004309228155761957","0.004309228155761957","0.004309228155761957"
"133","0.003284832462668419","0.003284832462668419","0.003284832462668419"
"135","0.004821466282010078","0.004821466282010078","0.004821466282010078"
"137","0.002526171039789915","0.002526171039789915","0.002526171039789915"
"139","0.002162887481972575","0.002162887481972575","0.002162887481972575"
"141","0.003884654026478529","0.003884654026478529","0.003884654026478529"
"143","0.003045398974791169","0.003045398974791169","0.003045398974791169"
"145","0.004521512426435947","0.004521512426435947","0.004521512426435947"
"147","0.0023984890431165695","0.0023984890431165695","0.0023984890431165695"
"149","0.0021017238032072783","0.0021017238032072783","0.0021017238032072783"
"151","0.0038549494929611683","0.0038549494929611683","0.0038549494929611683"
"153","0.0030660228803753853","0.0030660228803753853","0.0030660228803753853"
"155","0.004638930317014456","0.004638930317014456","0.004638930317014456"
"157","0.0025250480975955725","0.0025250480975955725","0.0025250480975955725"
"159","0.0022368247155100107","0.0022368247155100107","0.0022368247155100107"
"161","0.004134987946599722","0.004134987946599722","0.004134987946599722"
"163","0.003299092873930931","0.003299092873930931","0.003299092873930931"
"165","0.005121164955198765","0.005121164955198765","0.005121164955198765"
"167","0.0028869458474218845","0.0028869458474218845","0.0028869458474218845"
"169","0.0025505470111966133","0.0025505470111966133","0.0025505470111966133"
"171","0.004682437516748905","0.004682437516748905","0.004682437516748905"
