"Step","robust-dream-992 - std_entropy_1","robust-dream-992 - std_entropy_1__MIN","robust-dream-992 - std_entropy_1__MAX"
"1","0.0018066955963149667","0.0018066955963149667","0.0018066955963149667"
"3","0.005854946561157703","0.005854946561157703","0.005854946561157703"
"5","0.009545953944325447","0.009545953944325447","0.009545953944325447"
"7","0.01748441718518734","0.01748441718518734","0.01748441718518734"
"9","0.026739344000816345","0.026739344000816345","0.026739344000816345"
"11","0.04039589315652847","0.04039589315652847","0.04039589315652847"
"13","0.05340142920613289","0.05340142920613289","0.05340142920613289"
"15","0.057882390916347504","0.057882390916347504","0.057882390916347504"
"17","0.08933817595243454","0.08933817595243454","0.08933817595243454"
"19","0.0793817788362503","0.0793817788362503","0.0793817788362503"
"21","0.10703189671039581","0.10703189671039581","0.10703189671039581"
"23","0.11512820422649384","0.11512820422649384","0.11512820422649384"
"25","0.12069306522607803","0.12069306522607803","0.12069306522607803"
"27","0.1329413503408432","0.1329413503408432","0.1329413503408432"
"29","0.12600085139274597","0.12600085139274597","0.12600085139274597"
"31","0.13791991770267487","0.13791991770267487","0.13791991770267487"
"33","0.14633066952228546","0.14633066952228546","0.14633066952228546"
"35","0.15218141674995422","0.15218141674995422","0.15218141674995422"
"37","0.14655537903308868","0.14655537903308868","0.14655537903308868"
"39","0.1456827074289322","0.1456827074289322","0.1456827074289322"
"41","0.15396557748317719","0.15396557748317719","0.15396557748317719"
"43","0.14132818579673767","0.14132818579673767","0.14132818579673767"
"45","0.14382189512252808","0.14382189512252808","0.14382189512252808"
"47","0.1375037431716919","0.1375037431716919","0.1375037431716919"
"49","0.1298217475414276","0.1298217475414276","0.1298217475414276"
"51","0.12606309354305267","0.12606309354305267","0.12606309354305267"
"53","0.13517066836357117","0.13517066836357117","0.13517066836357117"
"55","0.10634534806013107","0.10634534806013107","0.10634534806013107"
"57","0.10077903419733047","0.10077903419733047","0.10077903419733047"
"59","0.10522017627954483","0.10522017627954483","0.10522017627954483"
"61","0.10813939571380615","0.10813939571380615","0.10813939571380615"
"63","0.10719775408506393","0.10719775408506393","0.10719775408506393"
"65","0.0975697711110115","0.0975697711110115","0.0975697711110115"
"67","0.07841772586107254","0.07841772586107254","0.07841772586107254"
"69","0.07060296833515167","0.07060296833515167","0.07060296833515167"
"71","0.07362456619739532","0.07362456619739532","0.07362456619739532"
"73","0.07478135079145432","0.07478135079145432","0.07478135079145432"
"75","0.0738176554441452","0.0738176554441452","0.0738176554441452"
"77","0.06379886716604233","0.06379886716604233","0.06379886716604233"
"79","0.05967837944626808","0.05967837944626808","0.05967837944626808"
"81","0.05230136960744858","0.05230136960744858","0.05230136960744858"
"83","0.053276270627975464","0.053276270627975464","0.053276270627975464"
"85","0.046201542019844055","0.046201542019844055","0.046201542019844055"
"87","0.04366423562169075","0.04366423562169075","0.04366423562169075"
"89","0.045481353998184204","0.045481353998184204","0.045481353998184204"
"91","0.040896136313676834","0.040896136313676834","0.040896136313676834"
"93","0.04113291576504707","0.04113291576504707","0.04113291576504707"
"95","0.040390823036432266","0.040390823036432266","0.040390823036432266"
"97","0.03977677598595619","0.03977677598595619","0.03977677598595619"
"99","0.025886133313179016","0.025886133313179016","0.025886133313179016"
"101","0.03049648553133011","0.03049648553133011","0.03049648553133011"
"103","0.02668260782957077","0.02668260782957077","0.02668260782957077"
"105","0.023608887568116188","0.023608887568116188","0.023608887568116188"
"107","0.022039534524083138","0.022039534524083138","0.022039534524083138"
"109","0.021958300843834877","0.021958300843834877","0.021958300843834877"
"111","0.01922455243766308","0.01922455243766308","0.01922455243766308"
"113","0.018579164519906044","0.018579164519906044","0.018579164519906044"
"115","0.021008307114243507","0.021008307114243507","0.021008307114243507"
"117","0.01612609438598156","0.01612609438598156","0.01612609438598156"
"119","0.012400532141327858","0.012400532141327858","0.012400532141327858"
"121","0.021077018231153488","0.021077018231153488","0.021077018231153488"
"123","0.01705341413617134","0.01705341413617134","0.01705341413617134"
"125","0.016947036609053612","0.016947036609053612","0.016947036609053612"
"127","0.018110109493136406","0.018110109493136406","0.018110109493136406"
"129","0.013445661403238773","0.013445661403238773","0.013445661403238773"
"131","0.016777807846665382","0.016777807846665382","0.016777807846665382"
"133","0.015765417367219925","0.015765417367219925","0.015765417367219925"
"135","0.016341308131814003","0.016341308131814003","0.016341308131814003"
"137","0.01352247316390276","0.01352247316390276","0.01352247316390276"
"139","0.010200930759310722","0.010200930759310722","0.010200930759310722"
"141","0.012773927301168442","0.012773927301168442","0.012773927301168442"
"143","0.013278297148644924","0.013278297148644924","0.013278297148644924"
"145","0.011058492586016655","0.011058492586016655","0.011058492586016655"
"147","0.015565301291644573","0.015565301291644573","0.015565301291644573"
"149","0.008847272023558617","0.008847272023558617","0.008847272023558617"
"151","0.01671864092350006","0.01671864092350006","0.01671864092350006"
"153","0.014767620712518692","0.014767620712518692","0.014767620712518692"
"155","0.01832360215485096","0.01832360215485096","0.01832360215485096"
"157","0.013858788646757603","0.013858788646757603","0.013858788646757603"
"159","0.013484302908182144","0.013484302908182144","0.013484302908182144"
"161","0.017161890864372253","0.017161890864372253","0.017161890864372253"
"163","0.01749669387936592","0.01749669387936592","0.01749669387936592"
"165","0.01401499193161726","0.01401499193161726","0.01401499193161726"
"167","0.014386255294084549","0.014386255294084549","0.014386255294084549"
"169","0.011824625544250011","0.011824625544250011","0.011824625544250011"
"171","0.01421043649315834","0.01421043649315834","0.01421043649315834"
"173","0.01803433522582054","0.01803433522582054","0.01803433522582054"
"175","0.015968231484293938","0.015968231484293938","0.015968231484293938"
"177","0.01962880603969097","0.01962880603969097","0.01962880603969097"
"179","0.02014049142599106","0.02014049142599106","0.02014049142599106"
"181","0.021719440817832947","0.021719440817832947","0.021719440817832947"
"183","0.022139783948659897","0.022139783948659897","0.022139783948659897"
"185","0.01896999217569828","0.01896999217569828","0.01896999217569828"
