"Step","wobbly-sweep-12 - std_entropy_0","wobbly-sweep-12 - std_entropy_0__MIN","wobbly-sweep-12 - std_entropy_0__MAX"
"23","0.011752696707844734","0.011752696707844734","0.011752696707844734"
"31","0.014016907662153244","0.014016907662153244","0.014016907662153244"
"35","0.021069742739200592","0.021069742739200592","0.021069742739200592"
"53","0.03060031682252884","0.03060031682252884","0.03060031682252884"
"59","0.023471001535654068","0.023471001535654068","0.023471001535654068"
"61","0.02631758339703083","0.02631758339703083","0.02631758339703083"
"79","0.03464517742395401","0.03464517742395401","0.03464517742395401"
"115","0.11588960140943527","0.11588960140943527","0.11588960140943527"
"123","0.10673001408576965","0.10673001408576965","0.10673001408576965"
"129","0.2365075945854187","0.2365075945854187","0.2365075945854187"
"133","0.11372379213571548","0.11372379213571548","0.11372379213571548"
"149","0.1624574363231659","0.1624574363231659","0.1624574363231659"
"155","0.1583230048418045","0.1583230048418045","0.1583230048418045"
"163","0.18908588588237762","0.18908588588237762","0.18908588588237762"
"177","0.17691311240196228","0.17691311240196228","0.17691311240196228"
"223","0.018569109961390495","0.018569109961390495","0.018569109961390495"
"225","0.019117409363389015","0.019117409363389015","0.019117409363389015"
"231","0.024439940229058266","0.024439940229058266","0.024439940229058266"
"243","0.1630835384130478","0.1630835384130478","0.1630835384130478"
"245","0.1594753861427307","0.1594753861427307","0.1594753861427307"
"285","0.045220620930194855","0.045220620930194855","0.045220620930194855"
"291","0.03271503746509552","0.03271503746509552","0.03271503746509552"
"313","0.13803395628929138","0.13803395628929138","0.13803395628929138"
"317","0.058857277035713196","0.058857277035713196","0.058857277035713196"
"327","0.11428713798522949","0.11428713798522949","0.11428713798522949"
"343","0.21404409408569336","0.21404409408569336","0.21404409408569336"
"345","0.16809237003326416","0.16809237003326416","0.16809237003326416"
"363","0.2531873881816864","0.2531873881816864","0.2531873881816864"
"365","0.06633412092924118","0.06633412092924118","0.06633412092924118"
"395","0.022397231310606003","0.022397231310606003","0.022397231310606003"
"413","0.038960255682468414","0.038960255682468414","0.038960255682468414"
"431","0.06728745251893997","0.06728745251893997","0.06728745251893997"
"439","0.08239616453647614","0.08239616453647614","0.08239616453647614"
"447","0.08708248287439346","0.08708248287439346","0.08708248287439346"
"457","0.19227415323257446","0.19227415323257446","0.19227415323257446"
"461","0.12963224947452545","0.12963224947452545","0.12963224947452545"
"469","0.21747612953186035","0.21747612953186035","0.21747612953186035"
"475","0.21253816783428192","0.21253816783428192","0.21253816783428192"
"479","0.20970159769058228","0.20970159769058228","0.20970159769058228"
"481","0.21488656103610992","0.21488656103610992","0.21488656103610992"
"483","0.2223738431930542","0.2223738431930542","0.2223738431930542"
"489","0.20801123976707458","0.20801123976707458","0.20801123976707458"
"495","0.02262101136147976","0.02262101136147976","0.02262101136147976"
"499","0.025593580678105354","0.025593580678105354","0.025593580678105354"
"517","0.0414154939353466","0.0414154939353466","0.0414154939353466"
"553","0.058080799877643585","0.058080799877643585","0.058080799877643585"
"579","0.08132364600896835","0.08132364600896835","0.08132364600896835"
"583","0.10921644419431686","0.10921644419431686","0.10921644419431686"
"585","0.10143336653709412","0.10143336653709412","0.10143336653709412"
"589","0.12693151831626892","0.12693151831626892","0.12693151831626892"
"595","0.22970065474510193","0.22970065474510193","0.22970065474510193"
"597","0.1327323019504547","0.1327323019504547","0.1327323019504547"
"605","0.09718320518732071","0.09718320518732071","0.09718320518732071"
"615","0.13746044039726257","0.13746044039726257","0.13746044039726257"
"637","0.20588672161102295","0.20588672161102295","0.20588672161102295"
"655","0.03659151494503021","0.03659151494503021","0.03659151494503021"
"659","0.037376318126916885","0.037376318126916885","0.037376318126916885"
"665","0.03478670492768288","0.03478670492768288","0.03478670492768288"
"699","0.05770695209503174","0.05770695209503174","0.05770695209503174"
"717","0.07013656944036484","0.07013656944036484","0.07013656944036484"
"725","0.06003657355904579","0.06003657355904579","0.06003657355904579"
"765","0.09928791224956512","0.09928791224956512","0.09928791224956512"
"769","0.14343968033790588","0.14343968033790588","0.14343968033790588"
"779","0.11074559390544891","0.11074559390544891","0.11074559390544891"
"795","0.2115355283021927","0.2115355283021927","0.2115355283021927"
"805","0.26066914200782776","0.26066914200782776","0.26066914200782776"
"815","0.22370649874210358","0.22370649874210358","0.22370649874210358"
"837","0.24055048823356628","0.24055048823356628","0.24055048823356628"
"841","0.2311531901359558","0.2311531901359558","0.2311531901359558"
