"Step","fallen-sweep-36 - mean_entropy_1","fallen-sweep-36 - mean_entropy_1__MIN","fallen-sweep-36 - mean_entropy_1__MAX"
"237","0.998431384563446","0.998431384563446","0.998431384563446"
"275","0.9984385371208191","0.9984385371208191","0.9984385371208191"
"525","0.9952505230903625","0.9952505230903625","0.9952505230903625"
"659","0.9906363487243652","0.9906363487243652","0.9906363487243652"
"843","0.9896846413612366","0.9896846413612366","0.9896846413612366"
"895","0.987547755241394","0.987547755241394","0.987547755241394"
"947","0.9861540794372559","0.9861540794372559","0.9861540794372559"
"985","0.9765685796737671","0.9765685796737671","0.9765685796737671"
"1009","0.9796680808067322","0.9796680808067322","0.9796680808067322"
"1111","0.9648405909538269","0.9648405909538269","0.9648405909538269"
"1325","0.954688310623169","0.954688310623169","0.954688310623169"
"1337","0.9407604932785034","0.9407604932785034","0.9407604932785034"
"1351","0.9422257542610168","0.9422257542610168","0.9422257542610168"
"1689","0.9096792936325073","0.9096792936325073","0.9096792936325073"
"1723","0.8938187956809998","0.8938187956809998","0.8938187956809998"
"1733","0.8824285268783569","0.8824285268783569","0.8824285268783569"
"2079","0.8525650501251221","0.8525650501251221","0.8525650501251221"
"2543","0.7288962602615356","0.7288962602615356","0.7288962602615356"
"2645","0.6737588047981262","0.6737588047981262","0.6737588047981262"
"2707","0.6582309603691101","0.6582309603691101","0.6582309603691101"
"2731","0.6478337049484253","0.6478337049484253","0.6478337049484253"
"2741","0.6319513916969299","0.6319513916969299","0.6319513916969299"
"2799","0.6619657874107361","0.6619657874107361","0.6619657874107361"
"2909","0.5807622075080872","0.5807622075080872","0.5807622075080872"
"2951","0.5999358892440796","0.5999358892440796","0.5999358892440796"
"2973","0.6148617267608643","0.6148617267608643","0.6148617267608643"
"3089","0.545232355594635","0.545232355594635","0.545232355594635"
"3163","0.5222349762916565","0.5222349762916565","0.5222349762916565"
"3235","0.4969002604484558","0.4969002604484558","0.4969002604484558"
"3343","0.4617205262184143","0.4617205262184143","0.4617205262184143"
"3379","0.43711209297180176","0.43711209297180176","0.43711209297180176"
"3573","0.39867934584617615","0.39867934584617615","0.39867934584617615"
"3593","0.39206042885780334","0.39206042885780334","0.39206042885780334"
"3635","0.3670269548892975","0.3670269548892975","0.3670269548892975"
"3777","0.3230058252811432","0.3230058252811432","0.3230058252811432"
"4027","0.27017202973365784","0.27017202973365784","0.27017202973365784"
"4245","0.24219046533107758","0.24219046533107758","0.24219046533107758"
"4895","0.13354770839214325","0.13354770839214325","0.13354770839214325"
"4999","0.12618140876293182","0.12618140876293182","0.12618140876293182"
"5081","0.12591469287872314","0.12591469287872314","0.12591469287872314"
"5133","0.11608435213565826","0.11608435213565826","0.11608435213565826"
"5327","0.09845384210348129","0.09845384210348129","0.09845384210348129"
"5361","0.08901754766702652","0.08901754766702652","0.08901754766702652"
"5667","0.07590536773204803","0.07590536773204803","0.07590536773204803"
"5935","0.057117149233818054","0.057117149233818054","0.057117149233818054"
"6271","0.040620893239974976","0.040620893239974976","0.040620893239974976"
"6829","0.024866858497262","0.024866858497262","0.024866858497262"
"6859","0.02394438162446022","0.02394438162446022","0.02394438162446022"
"6887","0.024176551029086113","0.024176551029086113","0.024176551029086113"
"6903","0.024303175508975983","0.024303175508975983","0.024303175508975983"
"6959","0.023542851209640503","0.023542851209640503","0.023542851209640503"
"7109","0.018442951142787933","0.018442951142787933","0.018442951142787933"
"7119","0.02135380730032921","0.02135380730032921","0.02135380730032921"
"7195","0.01925422064960003","0.01925422064960003","0.01925422064960003"
"7267","0.03695311024785042","0.03695311024785042","0.03695311024785042"
"7273","0.01678157038986683","0.01678157038986683","0.01678157038986683"
"7291","0.01559422630816698","0.01559422630816698","0.01559422630816698"
"7367","0.015004819259047508","0.015004819259047508","0.015004819259047508"
"7887","0.009838202968239784","0.009838202968239784","0.009838202968239784"
"8039","0.00784829817712307","0.00784829817712307","0.00784829817712307"
"8153","0.008964454755187035","0.008964454755187035","0.008964454755187035"
"8191","0.006525025237351656","0.006525025237351656","0.006525025237351656"
"8211","0.007696131709963083","0.007696131709963083","0.007696131709963083"
