"Step","fallen-sweep-36 - std_entropy_1","fallen-sweep-36 - std_entropy_1__MIN","fallen-sweep-36 - std_entropy_1__MAX"
"197","0.002109901513904333","0.002109901513904333","0.002109901513904333"
"273","0.0021573572885245085","0.0021573572885245085","0.0021573572885245085"
"339","0.00202533439733088","0.00202533439733088","0.00202533439733088"
"471","0.0029542865231633186","0.0029542865231633186","0.0029542865231633186"
"527","0.003149859607219696","0.003149859607219696","0.003149859607219696"
"573","0.004839832428842783","0.004839832428842783","0.004839832428842783"
"641","0.004484700504690409","0.004484700504690409","0.004484700504690409"
"687","0.0051481155678629875","0.0051481155678629875","0.0051481155678629875"
"695","0.006961069069802761","0.006961069069802761","0.006961069069802761"
"899","0.009567247703671455","0.009567247703671455","0.009567247703671455"
"939","0.008015505038201809","0.008015505038201809","0.008015505038201809"
"945","0.008821532130241394","0.008821532130241394","0.008821532130241394"
"949","0.008261782117187977","0.008261782117187977","0.008261782117187977"
"1025","0.013689938932657242","0.013689938932657242","0.013689938932657242"
"1181","0.018773967400193214","0.018773967400193214","0.018773967400193214"
"1193","0.01906227320432663","0.01906227320432663","0.01906227320432663"
"1305","0.022778674960136414","0.022778674960136414","0.022778674960136414"
"1365","0.016046833246946335","0.016046833246946335","0.016046833246946335"
"1435","0.01892326958477497","0.01892326958477497","0.01892326958477497"
"1499","0.026444310322403908","0.026444310322403908","0.026444310322403908"
"1647","0.03250637650489807","0.03250637650489807","0.03250637650489807"
"1649","0.027032069861888885","0.027032069861888885","0.027032069861888885"
"2129","0.04936530441045761","0.04936530441045761","0.04936530441045761"
"2183","0.046633101999759674","0.046633101999759674","0.046633101999759674"
"2187","0.05090191960334778","0.05090191960334778","0.05090191960334778"
"2201","0.04877720773220062","0.04877720773220062","0.04877720773220062"
"2257","0.05373946949839592","0.05373946949839592","0.05373946949839592"
"2283","0.04947960004210472","0.04947960004210472","0.04947960004210472"
"2881","0.07649797201156616","0.07649797201156616","0.07649797201156616"
"3027","0.07287715375423431","0.07287715375423431","0.07287715375423431"
"3069","0.10109931230545044","0.10109931230545044","0.10109931230545044"
"3083","0.07366590946912766","0.07366590946912766","0.07366590946912766"
"3195","0.09852181375026703","0.09852181375026703","0.09852181375026703"
"3265","0.08494561910629272","0.08494561910629272","0.08494561910629272"
"3423","0.0834348276257515","0.0834348276257515","0.0834348276257515"
"3439","0.08949073404073715","0.08949073404073715","0.08949073404073715"
"3463","0.08346020430326462","0.08346020430326462","0.08346020430326462"
"3555","0.08083827048540115","0.08083827048540115","0.08083827048540115"
"3735","0.07794240117073059","0.07794240117073059","0.07794240117073059"
"3957","0.06925132125616074","0.06925132125616074","0.06925132125616074"
"4097","0.06943565607070923","0.06943565607070923","0.06943565607070923"
"4185","0.06722675263881683","0.06722675263881683","0.06722675263881683"
"4305","0.06948646903038025","0.06948646903038025","0.06948646903038025"
"4375","0.0627787858247757","0.0627787858247757","0.0627787858247757"
"4433","0.06882338225841522","0.06882338225841522","0.06882338225841522"
"4807","0.050469838082790375","0.050469838082790375","0.050469838082790375"
"4853","0.04786123335361481","0.04786123335361481","0.04786123335361481"
"4905","0.04777297005057335","0.04777297005057335","0.04777297005057335"
"5065","0.07481349259614944","0.07481349259614944","0.07481349259614944"
"5075","0.05379262566566467","0.05379262566566467","0.05379262566566467"
"5323","0.037769921123981476","0.037769921123981476","0.037769921123981476"
"5543","0.0421656034886837","0.0421656034886837","0.0421656034886837"
"5563","0.03153112903237343","0.03153112903237343","0.03153112903237343"
"5685","0.035082049667835236","0.035082049667835236","0.035082049667835236"
"5773","0.02881750464439392","0.02881750464439392","0.02881750464439392"
"5957","0.026067856699228287","0.026067856699228287","0.026067856699228287"
"5973","0.023223070427775383","0.023223070427775383","0.023223070427775383"
"5975","0.02125435136258602","0.02125435136258602","0.02125435136258602"
"6085","0.023109572008252144","0.023109572008252144","0.023109572008252144"
"6177","0.02910715341567993","0.02910715341567993","0.02910715341567993"
"6303","0.019903365522623062","0.019903365522623062","0.019903365522623062"
"6335","0.020950688049197197","0.020950688049197197","0.020950688049197197"
"6461","0.03334883600473404","0.03334883600473404","0.03334883600473404"
"6601","0.01664518192410469","0.01664518192410469","0.01664518192410469"
"6609","0.014993473887443542","0.014993473887443542","0.014993473887443542"
"6881","0.015216508880257607","0.015216508880257607","0.015216508880257607"
"6921","0.013460645452141762","0.013460645452141762","0.013460645452141762"
"6959","0.01350377593189478","0.01350377593189478","0.01350377593189478"
