"Step","fallen-sweep-36 - std_entropy_0","fallen-sweep-36 - std_entropy_0__MIN","fallen-sweep-36 - std_entropy_0__MAX"
"489","0.0075925360433757305","0.0075925360433757305","0.0075925360433757305"
"509","0.003453365992754698","0.003453365992754698","0.003453365992754698"
"543","0.0033905329182744026","0.0033905329182744026","0.0033905329182744026"
"569","0.0030401968397200108","0.0030401968397200108","0.0030401968397200108"
"769","0.014301840215921402","0.014301840215921402","0.014301840215921402"
"947","0.014342397451400757","0.014342397451400757","0.014342397451400757"
"1165","0.02934148721396923","0.02934148721396923","0.02934148721396923"
"1213","0.028449630364775658","0.028449630364775658","0.028449630364775658"
"1485","0.03343699499964714","0.03343699499964714","0.03343699499964714"
"1515","0.03298023343086243","0.03298023343086243","0.03298023343086243"
"1973","0.04525914788246155","0.04525914788246155","0.04525914788246155"
"2151","0.05538814142346382","0.05538814142346382","0.05538814142346382"
"2283","0.04905780032277107","0.04905780032277107","0.04905780032277107"
"2341","0.04105869680643082","0.04105869680643082","0.04105869680643082"
"2345","0.05550803989171982","0.05550803989171982","0.05550803989171982"
"2375","0.05351964011788368","0.05351964011788368","0.05351964011788368"
"2461","0.05132473260164261","0.05132473260164261","0.05132473260164261"
"2483","0.05161700397729874","0.05161700397729874","0.05161700397729874"
"2533","0.05661872774362564","0.05661872774362564","0.05661872774362564"
"2643","0.04868094250559807","0.04868094250559807","0.04868094250559807"
"3017","0.04317953437566757","0.04317953437566757","0.04317953437566757"
"3139","0.042462922632694244","0.042462922632694244","0.042462922632694244"
"3151","0.04273771494626999","0.04273771494626999","0.04273771494626999"
"3279","0.042164284735918045","0.042164284735918045","0.042164284735918045"
"3351","0.03556690365076065","0.03556690365076065","0.03556690365076065"
"3659","0.03285752981901169","0.03285752981901169","0.03285752981901169"
"3899","0.027067016810178757","0.027067016810178757","0.027067016810178757"
"4195","0.023353956639766693","0.023353956639766693","0.023353956639766693"
"4233","0.01945282705128193","0.01945282705128193","0.01945282705128193"
"4431","0.015327876433730125","0.015327876433730125","0.015327876433730125"
"4761","0.017051871865987778","0.017051871865987778","0.017051871865987778"
"4803","0.0135347293689847","0.0135347293689847","0.0135347293689847"
"5017","0.009960664436221123","0.009960664436221123","0.009960664436221123"
"5325","0.007757578976452351","0.007757578976452351","0.007757578976452351"
"5377","0.006300750188529491","0.006300750188529491","0.006300750188529491"
"5519","0.005307410378009081","0.005307410378009081","0.005307410378009081"
"5583","0.004915550816804171","0.004915550816804171","0.004915550816804171"
"5763","0.005122166592627764","0.005122166592627764","0.005122166592627764"
"5769","0.004890863783657551","0.004890863783657551","0.004890863783657551"
"5771","0.003930041566491127","0.003930041566491127","0.003930041566491127"
"5829","0.0044364347122609615","0.0044364347122609615","0.0044364347122609615"
"5931","0.005202384199947119","0.005202384199947119","0.005202384199947119"
