"Step","fallen-sweep-36 - mean_entropy_0","fallen-sweep-36 - mean_entropy_0__MIN","fallen-sweep-36 - mean_entropy_0__MAX"
"111","0.9921303987503052","0.9921303987503052","0.9921303987503052"
"171","0.9926592707633972","0.9926592707633972","0.9926592707633972"
"307","0.9950273633003235","0.9950273633003235","0.9950273633003235"
"465","0.9936047792434692","0.9936047792434692","0.9936047792434692"
"469","0.9954534769058228","0.9954534769058228","0.9954534769058228"
"643","0.9904195070266724","0.9904195070266724","0.9904195070266724"
"865","0.9834704399108887","0.9834704399108887","0.9834704399108887"
"895","0.9814988374710083","0.9814988374710083","0.9814988374710083"
"1033","0.9570857286453247","0.9570857286453247","0.9570857286453247"
"1171","0.9482116103172302","0.9482116103172302","0.9482116103172302"
"1527","0.891065776348114","0.891065776348114","0.891065776348114"
"1589","0.8810526132583618","0.8810526132583618","0.8810526132583618"
"1623","0.8640397191047668","0.8640397191047668","0.8640397191047668"
"1753","0.7999634742736816","0.7999634742736816","0.7999634742736816"
"1961","0.7839230895042419","0.7839230895042419","0.7839230895042419"
"2083","0.7564505338668823","0.7564505338668823","0.7564505338668823"
"2327","0.6655505895614624","0.6655505895614624","0.6655505895614624"
"2349","0.6260364651679993","0.6260364651679993","0.6260364651679993"
"2357","0.6272613406181335","0.6272613406181335","0.6272613406181335"
"2527","0.5858262777328491","0.5858262777328491","0.5858262777328491"
"2635","0.5334784984588623","0.5334784984588623","0.5334784984588623"
"2709","0.5015908479690552","0.5015908479690552","0.5015908479690552"
"2859","0.4241974651813507","0.4241974651813507","0.4241974651813507"
"2883","0.44268348813056946","0.44268348813056946","0.44268348813056946"
"2903","0.43159404397010803","0.43159404397010803","0.43159404397010803"
"2913","0.4414480924606323","0.4414480924606323","0.4414480924606323"
"3033","0.3844617009162903","0.3844617009162903","0.3844617009162903"
"3159","0.33776146173477173","0.33776146173477173","0.33776146173477173"
"3465","0.2566570043563843","0.2566570043563843","0.2566570043563843"
"3469","0.259719580411911","0.259719580411911","0.259719580411911"
"3553","0.22854089736938477","0.22854089736938477","0.22854089736938477"
"3579","0.23798850178718567","0.23798850178718567","0.23798850178718567"
"3733","0.18932323157787323","0.18932323157787323","0.18932323157787323"
"3971","0.14521396160125732","0.14521396160125732","0.14521396160125732"
"3997","0.14450441300868988","0.14450441300868988","0.14450441300868988"
"4539","0.07898998260498047","0.07898998260498047","0.07898998260498047"
"4803","0.057407133281230927","0.057407133281230927","0.057407133281230927"
"4871","0.05358464643359184","0.05358464643359184","0.05358464643359184"
"5011","0.04376905784010887","0.04376905784010887","0.04376905784010887"
"5321","0.029683193191885948","0.029683193191885948","0.029683193191885948"
"5459","0.02690889872610569","0.02690889872610569","0.02690889872610569"
"5555","0.02348029613494873","0.02348029613494873","0.02348029613494873"
"6145","0.010411265306174755","0.010411265306174755","0.010411265306174755"
"6147","0.010141804814338684","0.010141804814338684","0.010141804814338684"
"6265","0.009549369104206562","0.009549369104206562","0.009549369104206562"
"6291","0.008375093340873718","0.008375093340873718","0.008375093340873718"
"6321","0.007951795123517513","0.007951795123517513","0.007951795123517513"
"6489","0.006530618295073509","0.006530618295073509","0.006530618295073509"
"6607","0.005735685583204031","0.005735685583204031","0.005735685583204031"
"6629","0.005629394669085741","0.005629394669085741","0.005629394669085741"
"6643","0.006544793955981731","0.006544793955981731","0.006544793955981731"
"6715","0.005851048976182938","0.005851048976182938","0.005851048976182938"
