"Step","dainty-dust-1008 - std_entropy_0","dainty-dust-1008 - std_entropy_0__MIN","dainty-dust-1008 - std_entropy_0__MAX"
"1","0.12325630336999893","0.12325630336999893","0.12325630336999893"
"3","5.847059583174996e-7","5.847059583174996e-7","5.847059583174996e-7"
"5","0.000013324678548087832","0.000013324678548087832","0.000013324678548087832"
"7","0.0005575228715315461","0.0005575228715315461","0.0005575228715315461"
"9","0.0002148157509509474","0.0002148157509509474","0.0002148157509509474"
"11","0.00027314823819324374","0.00027314823819324374","0.00027314823819324374"
"13","0.00000565606524105533","0.00000565606524105533","0.00000565606524105533"
"15","0.000004208857717458159","0.000004208857717458159","0.000004208857717458159"
"17","2.513072274723527e-7","2.513072274723527e-7","2.513072274723527e-7"
"19","0","0","0"
"21","0","0","0"
"23","3.4672788729039894e-7","3.4672788729039894e-7","3.4672788729039894e-7"
"25","8.553771522201714e-7","8.553771522201714e-7","8.553771522201714e-7"
"27","0.0000212959130294621","0.0000212959130294621","0.0000212959130294621"
"29","0.00012846870231442153","0.00012846870231442153","0.00012846870231442153"
"31","0.00007846128573874012","0.00007846128573874012","0.00007846128573874012"
"33","0.0006009808275848627","0.0006009808275848627","0.0006009808275848627"
"35","0.00006286583084147424","0.00006286583084147424","0.00006286583084147424"
"37","0.00002103536098729819","0.00002103536098729819","0.00002103536098729819"
"39","0.000002291074451932218","0.000002291074451932218","0.000002291074451932218"
"41","2.3245841873631434e-7","2.3245841873631434e-7","2.3245841873631434e-7"
"43","0.0000012892966196886846","0.0000012892966196886846","0.0000012892966196886846"
"45","0.000001993998921534512","0.000001993998921534512","0.000001993998921534512"
"47","5.448490369985848e-8","5.448490369985848e-8","5.448490369985848e-8"
"49","2.3529648274234205e-7","2.3529648274234205e-7","2.3529648274234205e-7"
"51","0.000001335829892923357","0.000001335829892923357","0.000001335829892923357"
"53","0","0","0"
"55","0.0000011355558626746642","0.0000011355558626746642","0.0000011355558626746642"
"57","3.391129439478391e-7","3.391129439478391e-7","3.391129439478391e-7"
"59","0.000005748812782258028","0.000005748812782258028","0.000005748812782258028"
