"Step","dainty-dust-1008 - std_entropy_1","dainty-dust-1008 - std_entropy_1__MIN","dainty-dust-1008 - std_entropy_1__MAX"
"1","0.09888621419668198","0.09888621419668198","0.09888621419668198"
"3","5.885037808184279e-7","5.885037808184279e-7","5.885037808184279e-7"
"5","0.00004808435551240109","0.00004808435551240109","0.00004808435551240109"
"7","0.0011710119433701038","0.0011710119433701038","0.0011710119433701038"
"9","0.0007678652182221413","0.0007678652182221413","0.0007678652182221413"
"11","0.0005171478842385113","0.0005171478842385113","0.0005171478842385113"
"13","0.000017247648429474793","0.000017247648429474793","0.000017247648429474793"
"15","0.000027850237529492006","0.000027850237529492006","0.000027850237529492006"
"17","0.0000014362689171321108","0.0000014362689171321108","0.0000014362689171321108"
"19","0.000059597616200335324","0.000059597616200335324","0.000059597616200335324"
"21","0.000016898860849323682","0.000016898860849323682","0.000016898860849323682"
"23","0.0000014466379525401862","0.0000014466379525401862","0.0000014466379525401862"
"25","0.000009571316695655696","0.000009571316695655696","0.000009571316695655696"
"27","0.00006347187445499003","0.00006347187445499003","0.00006347187445499003"
"29","0.00011886423453688622","0.00011886423453688622","0.00011886423453688622"
"31","0.0002598071296233684","0.0002598071296233684","0.0002598071296233684"
"33","0.00725243566557765","0.00725243566557765","0.00725243566557765"
"35","0.00005774089731858112","0.00005774089731858112","0.00005774089731858112"
"37","0.00003408874908927828","0.00003408874908927828","0.00003408874908927828"
"39","0.000013014864634897094","0.000013014864634897094","0.000013014864634897094"
"41","0.0000330753973685205","0.0000330753973685205","0.0000330753973685205"
"43","0.000005375796717999037","0.000005375796717999037","0.000005375796717999037"
"45","0.0011646377388387918","0.0011646377388387918","0.0011646377388387918"
"47","0.0000013081022416372434","0.0000013081022416372434","0.0000013081022416372434"
"49","1.3285459488088236e-7","1.3285459488088236e-7","1.3285459488088236e-7"
"51","8.681804501975421e-7","8.681804501975421e-7","8.681804501975421e-7"
"53","0.000001915627308335388","0.000001915627308335388","0.000001915627308335388"
"55","0.0000012932118806929793","0.0000012932118806929793","0.0000012932118806929793"
"57","0.000010781242963275872","0.000010781242963275872","0.000010781242963275872"
"59","0.000006236649369384395","0.000006236649369384395","0.000006236649369384395"
"61","0.0023665111511945724","0.0023665111511945724","0.0023665111511945724"
"63","0.00007837973680580035","0.00007837973680580035","0.00007837973680580035"
"65","0.0009175824234262109","0.0009175824234262109","0.0009175824234262109"
"67","0.00008744897786527872","0.00008744897786527872","0.00008744897786527872"
"69","0.000008559431080357172","0.000008559431080357172","0.000008559431080357172"
"71","0.000003236641987314215","0.000003236641987314215","0.000003236641987314215"
"73","0.000013336766642169096","0.000013336766642169096","0.000013336766642169096"
"75","0.0000023599964151799213","0.0000023599964151799213","0.0000023599964151799213"
"77","0.00023751198023092002","0.00023751198023092002","0.00023751198023092002"
"79","0.0000031433787626156118","0.0000031433787626156118","0.0000031433787626156118"
"81","2.273206121117255e-7","2.273206121117255e-7","2.273206121117255e-7"
"83","7.569388458250614e-7","7.569388458250614e-7","7.569388458250614e-7"
"85","7.016753329480707e-7","7.016753329480707e-7","7.016753329480707e-7"
"87","0.000004643569809559267","0.000004643569809559267","0.000004643569809559267"
"89","0.000007749928045086563","0.000007749928045086563","0.000007749928045086563"
"91","0.01198775228112936","0.01198775228112936","0.01198775228112936"
"93","0.00001054315816872986","0.00001054315816872986","0.00001054315816872986"
"95","0.0000033716689813445555","0.0000033716689813445555","0.0000033716689813445555"
"97","0.0006474354304373264","0.0006474354304373264","0.0006474354304373264"
"99","0.00010693826334318146","0.00010693826334318146","0.00010693826334318146"
"101","0.000011655678463284858","0.000011655678463284858","0.000011655678463284858"
"103","0.000005765592050011037","0.000005765592050011037","0.000005765592050011037"
"105","0.008526732213795185","0.008526732213795185","0.008526732213795185"
"107","0.0000017765804614100489","0.0000017765804614100489","0.0000017765804614100489"
"109","0.000003350427277837298","0.000003350427277837298","0.000003350427277837298"
"111","9.218903187502292e-7","9.218903187502292e-7","9.218903187502292e-7"
"113","0.0000011092763543274486","0.0000011092763543274486","0.0000011092763543274486"
"115","0.0000020111883713980205","0.0000020111883713980205","0.0000020111883713980205"
"117","9.073164619621821e-8","9.073164619621821e-8","9.073164619621821e-8"
"119","0.00006952154217287898","0.00006952154217287898","0.00006952154217287898"
"121","5.312241455612821e-7","5.312241455612821e-7","5.312241455612821e-7"
"123","0.0011629547225311399","0.0011629547225311399","0.0011629547225311399"
"125","0.0003731815086212009","0.0003731815086212009","0.0003731815086212009"
"127","0.000026766283554024994","0.000026766283554024994","0.000026766283554024994"
"129","0.0001337819267064333","0.0001337819267064333","0.0001337819267064333"
"131","0.0002482089912518859","0.0002482089912518859","0.0002482089912518859"
"133","0.0023690855596214533","0.0023690855596214533","0.0023690855596214533"
"135","0.00016111940203700215","0.00016111940203700215","0.00016111940203700215"
"137","0.006859614048153162","0.006859614048153162","0.006859614048153162"
"139","0.0005410050507634878","0.0005410050507634878","0.0005410050507634878"
"141","0.00679521169513464","0.00679521169513464","0.00679521169513464"
"143","0.00003947421646444127","0.00003947421646444127","0.00003947421646444127"
"145","0.00001868251092673745","0.00001868251092673745","0.00001868251092673745"
"147","0.000017761054550646804","0.000017761054550646804","0.000017761054550646804"
"149","0.00009854936070041731","0.00009854936070041731","0.00009854936070041731"
"151","0.0000017778926348910318","0.0000017778926348910318","0.0000017778926348910318"
"153","0.000009646733815316111","0.000009646733815316111","0.000009646733815316111"
"155","0.0000019657993561850162","0.0000019657993561850162","0.0000019657993561850162"
"157","0.00012288529251236469","0.00012288529251236469","0.00012288529251236469"
"159","0.000004828857072425308","0.000004828857072425308","0.000004828857072425308"
"161","0.000006011847744957777","0.000006011847744957777","0.000006011847744957777"
"163","0.000037139467167435214","0.000037139467167435214","0.000037139467167435214"
"165","0.00008990406786324456","0.00008990406786324456","0.00008990406786324456"
"167","0.003540430683642626","0.003540430683642626","0.003540430683642626"
"169","0.003239825600758195","0.003239825600758195","0.003239825600758195"
"171","0.00018589440151117742","0.00018589440151117742","0.00018589440151117742"
"173","0.00018174310389440507","0.00018174310389440507","0.00018174310389440507"
"175","0.00006273635517572984","0.00006273635517572984","0.00006273635517572984"
"177","0.000054288815590552986","0.000054288815590552986","0.000054288815590552986"
"179","0.000018893335436587222","0.000018893335436587222","0.000018893335436587222"
"181","0.000002716172048167209","0.000002716172048167209","0.000002716172048167209"
"183","6.276645763136912e-7","6.276645763136912e-7","6.276645763136912e-7"
"185","0.00008719504694454372","0.00008719504694454372","0.00008719504694454372"
"187","0.000046686054702149704","0.000046686054702149704","0.000046686054702149704"
