"Step","dainty-dust-1008 - mean_entropy_1","dainty-dust-1008 - mean_entropy_1__MIN","dainty-dust-1008 - mean_entropy_1__MAX"
"1","0.9406009316444397","0.9406009316444397","0.9406009316444397"
"3","3.465914488742783e-8","3.465914488742783e-8","3.465914488742783e-8"
"5","0.000008536193490726873","0.000008536193490726873","0.000008536193490726873"
"7","0.0005052743945270777","0.0005052743945270777","0.0005052743945270777"
"9","0.00041193910874426365","0.00041193910874426365","0.00041193910874426365"
"11","0.00014227857172954828","0.00014227857172954828","0.00014227857172954828"
"13","0.000004231806087773293","0.000004231806087773293","0.000004231806087773293"
"15","0.0000011695564126057434","0.0000011695564126057434","0.0000011695564126057434"
"17","3.268422688051942e-8","3.268422688051942e-8","3.268422688051942e-8"
"19","5.27127269833727e-7","5.27127269833727e-7","5.27127269833727e-7"
"21","5.024597840019851e-7","5.024597840019851e-7","5.024597840019851e-7"
"23","3.277011018099074e-8","3.277011018099074e-8","3.277011018099074e-8"
"25","6.721988370372856e-7","6.721988370372856e-7","6.721988370372856e-7"
"27","0.000004843049737246474","0.000004843049737246474","0.000004843049737246474"
"29","0.00001730706571834162","0.00001730706571834162","0.00001730706571834162"
"31","0.000034396314731566235","0.000034396314731566235","0.000034396314731566235"
"33","0.00011782350338762626","0.00011782350338762626","0.00011782350338762626"
"35","0.000012863513802585658","0.000012863513802585658","0.000012863513802585658"
"37","0.000004434156835486647","0.000004434156835486647","0.000004434156835486647"
"39","0.0000011786308959926828","0.0000011786308959926828","0.0000011786308959926828"
"41","3.718559469234606e-7","3.718559469234606e-7","3.718559469234606e-7"
"43","1.8244449506710225e-7","1.8244449506710225e-7","1.8244449506710225e-7"
"45","0.00001965170304174535","0.00001965170304174535","0.00001965170304174535"
"47","4.546938114913246e-8","4.546938114913246e-8","4.546938114913246e-8"
"49","2.1068580213778887e-9","2.1068580213778887e-9","2.1068580213778887e-9"
"51","4.5428045325479616e-8","4.5428045325479616e-8","4.5428045325479616e-8"
"53","4.558092214779208e-8","4.558092214779208e-8","4.558092214779208e-8"
"55","5.512583456379616e-8","5.512583456379616e-8","5.512583456379616e-8"
"57","5.480840172822354e-7","5.480840172822354e-7","5.480840172822354e-7"
"59","4.5039718088446534e-7","4.5039718088446534e-7","4.5039718088446534e-7"
"61","0.000031291790946852416","0.000031291790946852416","0.000031291790946852416"
"63","0.000007112450930435443","0.000007112450930435443","0.000007112450930435443"
"65","0.000013867034795111977","0.000013867034795111977","0.000013867034795111977"
"67","0.000008053048077272251","0.000008053048077272251","0.000008053048077272251"
"69","0.0000016454613387395511","0.0000016454613387395511","0.0000016454613387395511"
"71","3.187535355664295e-7","3.187535355664295e-7","3.187535355664295e-7"
"73","0.0000013637495612783823","0.0000013637495612783823","0.0000013637495612783823"
"75","2.100744751487582e-7","2.100744751487582e-7","2.100744751487582e-7"
"77","0.000002124724005625467","0.000002124724005625467","0.000002124724005625467"
"79","1.7707735366911947e-7","1.7707735366911947e-7","1.7707735366911947e-7"
"81","1.0383402582192502e-8","1.0383402582192502e-8","1.0383402582192502e-8"
"83","3.5790542085578636e-8","3.5790542085578636e-8","3.5790542085578636e-8"
"85","4.414363985461023e-8","4.414363985461023e-8","4.414363985461023e-8"
"87","1.1548680589612559e-7","1.1548680589612559e-7","1.1548680589612559e-7"
"89","4.6094632466520125e-7","4.6094632466520125e-7","4.6094632466520125e-7"
"91","0.0001504954561823979","0.0001504954561823979","0.0001504954561823979"
"93","0.000001203839360641723","0.000001203839360641723","0.000001203839360641723"
"95","6.135784929028887e-7","6.135784929028887e-7","6.135784929028887e-7"
"97","0.000008158936907420866","0.000008158936907420866","0.000008158936907420866"
"99","0.000009342305020254571","0.000009342305020254571","0.000009342305020254571"
"101","0.0000015569592051178915","0.0000015569592051178915","0.0000015569592051178915"
"103","5.295102596392098e-7","5.295102596392098e-7","5.295102596392098e-7"
"105","0.00008179916767403483","0.00008179916767403483","0.00008179916767403483"
"107","1.046285333927699e-7","1.046285333927699e-7","1.046285333927699e-7"
"109","1.4166099049361947e-7","1.4166099049361947e-7","1.4166099049361947e-7"
"111","2.7896204457533713e-8","2.7896204457533713e-8","2.7896204457533713e-8"
"113","2.2898369422819087e-8","2.2898369422819087e-8","2.2898369422819087e-8"
"115","2.0212683082831973e-8","2.0212683082831973e-8","2.0212683082831973e-8"
"117","1.8772661203314556e-9","1.8772661203314556e-9","1.8772661203314556e-9"
"119","0.000002266032424813602","0.000002266032424813602","0.000002266032424813602"
"121","2.7518721523733802e-8","2.7518721523733802e-8","2.7518721523733802e-8"
"123","0.000010615709470584989","0.000010615709470584989","0.000010615709470584989"
"125","0.000004114718194614397","0.000004114718194614397","0.000004114718194614397"
"127","0.000004810886366612976","0.000004810886366612976","0.000004810886366612976"
"129","0.000014532043678627815","0.000014532043678627815","0.000014532043678627815"
"131","0.000016235082512139343","0.000016235082512139343","0.000016235082512139343"
"133","0.00005928508471697569","0.00005928508471697569","0.00005928508471697569"
"135","0.000026459301807335578","0.000026459301807335578","0.000026459301807335578"
"137","0.00011573953088372946","0.00011573953088372946","0.00011573953088372946"
"139","0.000015764788258820772","0.000015764788258820772","0.000015764788258820772"
"141","0.00006862501322757453","0.00006862501322757453","0.00006862501322757453"
"143","0.000004664842435886385","0.000004664842435886385","0.000004664842435886385"
"145","0.000004871018518315395","0.000004871018518315395","0.000004871018518315395"
"147","0.0000011187241852894658","0.0000011187241852894658","0.0000011187241852894658"
"149","0.0000026154650640819455","0.0000026154650640819455","0.0000026154650640819455"
"151","7.66104832905512e-8","7.66104832905512e-8","7.66104832905512e-8"
"153","2.867031412279175e-7","2.867031412279175e-7","2.867031412279175e-7"
"155","1.3739634141529677e-7","1.3739634141529677e-7","1.3739634141529677e-7"
"157","0.0000011213521702302387","0.0000011213521702302387","0.0000011213521702302387"
"159","3.825544752089627e-7","3.825544752089627e-7","3.825544752089627e-7"
"161","7.438861757691484e-7","7.438861757691484e-7","7.438861757691484e-7"
"163","0.000004839994289795868","0.000004839994289795868","0.000004839994289795868"
"165","0.000021302539607859217","0.000021302539607859217","0.000021302539607859217"
"167","0.00007363030454143882","0.00007363030454143882","0.00007363030454143882"
"169","0.00012394173245411366","0.00012394173245411366","0.00012394173245411366"
"171","0.00004452177745406516","0.00004452177745406516","0.00004452177745406516"
"173","0.0000312244264932815","0.0000312244264932815","0.0000312244264932815"
"175","0.00000903408454178134","0.00000903408454178134","0.00000903408454178134"
"177","0.000013507727089745458","0.000013507727089745458","0.000013507727089745458"
