"Step","dainty-dust-1008 - mean_entropy_0","dainty-dust-1008 - mean_entropy_0__MIN","dainty-dust-1008 - mean_entropy_0__MAX"
"1","0.9174607396125793","0.9174607396125793","0.9174607396125793"
"3","2.2369750496409324e-8","2.2369750496409324e-8","2.2369750496409324e-8"
"5","0.000003989709512097761","0.000003989709512097761","0.000003989709512097761"
"7","0.00010405878856545314","0.00010405878856545314","0.00010405878856545314"
"9","0.00009239131031790748","0.00009239131031790748","0.00009239131031790748"
"11","0.00006910532829351723","0.00006910532829351723","0.00006910532829351723"
"13","8.298882221424719e-7","8.298882221424719e-7","8.298882221424719e-7"
"15","3.22233347560541e-7","3.22233347560541e-7","3.22233347560541e-7"
"17","3.4981466612293843e-9","3.4981466612293843e-9","3.4981466612293843e-9"
"19","0","0","0"
"21","0","0","0"
"23","1.2198081655867554e-8","1.2198081655867554e-8","1.2198081655867554e-8"
"25","6.885493064601178e-8","6.885493064601178e-8","6.885493064601178e-8"
"27","0.0000012661605524044717","0.0000012661605524044717","0.0000012661605524044717"
"29","0.000009441335350857116","0.000009441335350857116","0.000009441335350857116"
"31","0.000005943522410234436","0.000005943522410234436","0.000005943522410234436"
"33","0.00004263490700395778","0.00004263490700395778","0.00004263490700395778"
"35","0.000010058940461021848","0.000010058940461021848","0.000010058940461021848"
"37","0.000002391088173681055","0.000002391088173681055","0.000002391088173681055"
"39","2.0961373081718193e-7","2.0961373081718193e-7","2.0961373081718193e-7"
"41","1.1065091065631805e-8","1.1065091065631805e-8","1.1065091065631805e-8"
"43","7.368089427473024e-8","7.368089427473024e-8","7.368089427473024e-8"
"45","1.7982047495479492e-7","1.7982047495479492e-7","1.7982047495479492e-7"
"47","1.0188099253127803e-9","1.0188099253127803e-9","1.0188099253127803e-9"
"49","4.19904599979759e-9","4.19904599979759e-9","4.19904599979759e-9"
"51","2.948828203841458e-8","2.948828203841458e-8","2.948828203841458e-8"
"53","0","0","0"
"55","4.476310166978692e-8","4.476310166978692e-8","4.476310166978692e-8"
"57","1.627747892030129e-8","1.627747892030129e-8","1.627747892030129e-8"
"59","2.579349711595569e-7","2.579349711595569e-7","2.579349711595569e-7"
"61","0.000044472559238784015","0.000044472559238784015","0.000044472559238784015"
"63","9.763906518855947e-7","9.763906518855947e-7","9.763906518855947e-7"
"65","0.0000017407259065294056","0.0000017407259065294056","0.0000017407259065294056"
"67","4.708079757165251e-7","4.708079757165251e-7","4.708079757165251e-7"
"69","4.847478862757271e-7","4.847478862757271e-7","4.847478862757271e-7"
"71","3.313890886147419e-7","3.313890886147419e-7","3.313890886147419e-7"
"73","6.821937148515644e-8","6.821937148515644e-8","6.821937148515644e-8"
"75","2.2058998183638323e-8","2.2058998183638323e-8","2.2058998183638323e-8"
"77","0.000012783600141119678","0.000012783600141119678","0.000012783600141119678"
"79","6.719660632370505e-7","6.719660632370505e-7","6.719660632370505e-7"
"81","3.1786806520273103e-9","3.1786806520273103e-9","3.1786806520273103e-9"
"83","1.1012080136652003e-9","1.1012080136652003e-9","1.1012080136652003e-9"
"85","5.471918029797962e-9","5.471918029797962e-9","5.471918029797962e-9"
"87","3.933963554914044e-8","3.933963554914044e-8","3.933963554914044e-8"
"89","5.117499313200824e-7","5.117499313200824e-7","5.117499313200824e-7"
"91","6.632652116422832e-8","6.632652116422832e-8","6.632652116422832e-8"
"93","3.240770496404366e-8","3.240770496404366e-8","3.240770496404366e-8"
"95","2.0281194679228065e-7","2.0281194679228065e-7","2.0281194679228065e-7"
"97","0.000014205741535988636","0.000014205741535988636","0.000014205741535988636"
"99","2.0465282091208792e-7","2.0465282091208792e-7","2.0465282091208792e-7"
"101","0.0000010032553063865635","0.0000010032553063865635","0.0000010032553063865635"
"103","1.306807462242432e-7","1.306807462242432e-7","1.306807462242432e-7"
"105","4.9307072913507e-7","4.9307072913507e-7","4.9307072913507e-7"
"107","2.1150540874259605e-8","2.1150540874259605e-8","2.1150540874259605e-8"
"109","6.191985590930926e-8","6.191985590930926e-8","6.191985590930926e-8"
"111","0","0","0"
"113","7.739807905693397e-9","7.739807905693397e-9","7.739807905693397e-9"
"115","7.473909491295672e-9","7.473909491295672e-9","7.473909491295672e-9"
"117","3.995757058561367e-9","3.995757058561367e-9","3.995757058561367e-9"
"119","1.0141347317471627e-8","1.0141347317471627e-8","1.0141347317471627e-8"
"121","5.250986756522025e-9","5.250986756522025e-9","5.250986756522025e-9"
"123","5.361171062645553e-9","5.361171062645553e-9","5.361171062645553e-9"
"125","2.8171168509061317e-8","2.8171168509061317e-8","2.8171168509061317e-8"
"127","0.0000015021771559986519","0.0000015021771559986519","0.0000015021771559986519"
"129","0.00000458542899650638","0.00000458542899650638","0.00000458542899650638"
"131","0.000009895652510749642","0.000009895652510749642","0.000009895652510749642"
"133","0.000021479085262399167","0.000021479085262399167","0.000021479085262399167"
"135","0.000012646113646042068","0.000012646113646042068","0.000012646113646042068"
"137","0.0002408805157756433","0.0002408805157756433","0.0002408805157756433"
"139","0.0000045071546992403455","0.0000045071546992403455","0.0000045071546992403455"
"141","0.0000016250418184426962","0.0000016250418184426962","0.0000016250418184426962"
"143","9.329892804998963e-7","9.329892804998963e-7","9.329892804998963e-7"
"145","1.1484215178825252e-7","1.1484215178825252e-7","1.1484215178825252e-7"
"147","0.000002128016376445885","0.000002128016376445885","0.000002128016376445885"
"149","0.000009086103091249242","0.000009086103091249242","0.000009086103091249242"
"151","3.3907586072245977e-8","3.3907586072245977e-8","3.3907586072245977e-8"
"153","9.179190669783566e-7","9.179190669783566e-7","9.179190669783566e-7"
"155","6.593776902263926e-8","6.593776902263926e-8","6.593776902263926e-8"
"157","1.642406566304544e-8","1.642406566304544e-8","1.642406566304544e-8"
"159","1.686679098611421e-7","1.686679098611421e-7","1.686679098611421e-7"
"161","4.1357775870665137e-8","4.1357775870665137e-8","4.1357775870665137e-8"
"163","6.427125640584563e-7","6.427125640584563e-7","6.427125640584563e-7"
"165","0.000004831210389966145","0.000004831210389966145","0.000004831210389966145"
"167","0.00012741739919874817","0.00012741739919874817","0.00012741739919874817"
"169","0.000019364661056897603","0.000019364661056897603","0.000019364661056897603"
"171","0.000007946136065584142","0.000007946136065584142","0.000007946136065584142"
"173","0.000002031659960266552","0.000002031659960266552","0.000002031659960266552"
"175","0.00003133392965537496","0.00003133392965537496","0.00003133392965537496"
"177","0.000003618903747337754","0.000003618903747337754","0.000003618903747337754"
"179","0.0000019740282368729822","0.0000019740282368729822","0.0000019740282368729822"
"181","3.797684087203379e-7","3.797684087203379e-7","3.797684087203379e-7"
"183","4.829496802472022e-9","4.829496802472022e-9","4.829496802472022e-9"
"185","0.0003720030072145164","0.0003720030072145164","0.0003720030072145164"
"187","0","0","0"
"189","1.4708481899106118e-7","1.4708481899106118e-7","1.4708481899106118e-7"
"191","1.4925369384855003e-7","1.4925369384855003e-7","1.4925369384855003e-7"
"193","0.0000029028062726865755","0.0000029028062726865755","0.0000029028062726865755"
"195","1.5884457127413043e-7","1.5884457127413043e-7","1.5884457127413043e-7"
"197","5.8433890615106066e-8","5.8433890615106066e-8","5.8433890615106066e-8"
"199","0.0000022338840608426835","0.0000022338840608426835","0.0000022338840608426835"
"201","0.0000026397613055451075","0.0000026397613055451075","0.0000026397613055451075"
"203","6.929259370735963e-7","6.929259370735963e-7","6.929259370735963e-7"
"205","0.000005574380338657647","0.000005574380338657647","0.000005574380338657647"
"207","0.0000010001110695156967","0.0000010001110695156967","0.0000010001110695156967"
"209","0.000001381054403282178","0.000001381054403282178","0.000001381054403282178"
"211","4.778773359248589e-7","4.778773359248589e-7","4.778773359248589e-7"
"213","9.858201792667387e-7","9.858201792667387e-7","9.858201792667387e-7"
"215","3.715891807587468e-7","3.715891807587468e-7","3.715891807587468e-7"
"217","0.00010509960702620447","0.00010509960702620447","0.00010509960702620447"
"219","0.0000020047755242558196","0.0000020047755242558196","0.0000020047755242558196"
"221","0","0","0"
"223","0.000003224749889341183","0.000003224749889341183","0.000003224749889341183"
"225","0.0000028274967007746454","0.0000028274967007746454","0.0000028274967007746454"
"227","8.833984566081199e-7","8.833984566081199e-7","8.833984566081199e-7"
"229","0.000005760236035712296","0.000005760236035712296","0.000005760236035712296"
"231","0.00001351013361272635","0.00001351013361272635","0.00001351013361272635"
"233","0.0000069895631895633414","0.0000069895631895633414","0.0000069895631895633414"
"235","0.0000035134466997988056","0.0000035134466997988056","0.0000035134466997988056"
"237","0.0000012348838254183647","0.0000012348838254183647","0.0000012348838254183647"
"239","6.169890980345372e-7","6.169890980345372e-7","6.169890980345372e-7"
"241","0.0000016901499293453526","0.0000016901499293453526","0.0000016901499293453526"
"243","0.000011899722267116886","0.000011899722267116886","0.000011899722267116886"
"245","0.00005466942093335092","0.00005466942093335092","0.00005466942093335092"
"247","0.0000625248285359703","0.0000625248285359703","0.0000625248285359703"
"249","0.0000023078202957549365","0.0000023078202957549365","0.0000023078202957549365"
"251","2.217147141436726e-7","2.217147141436726e-7","2.217147141436726e-7"
"253","0.000001540589437354356","0.000001540589437354356","0.000001540589437354356"
"255","3.594324171629637e-9","3.594324171629637e-9","3.594324171629637e-9"
"257","2.3380725622246246e-7","2.3380725622246246e-7","2.3380725622246246e-7"
"259","0.000001297758899454493","0.000001297758899454493","0.000001297758899454493"
"261","1.7026451359924977e-7","1.7026451359924977e-7","1.7026451359924977e-7"
