"Step","sleek-dew-1004 - std_entropy_1","sleek-dew-1004 - std_entropy_1__MIN","sleek-dew-1004 - std_entropy_1__MAX"
"1","0.00007968074351083487","0.00007968074351083487","0.00007968074351083487"
"3","0.0000771076520322822","0.0000771076520322822","0.0000771076520322822"
"5","0.00011673360131680965","0.00011673360131680965","0.00011673360131680965"
"7","0.00008012714533833787","0.00008012714533833787","0.00008012714533833787"
"9","0.00008075310324784368","0.00008075310324784368","0.00008075310324784368"
"11","0.00009280659287469462","0.00009280659287469462","0.00009280659287469462"
"13","0.00008291513950098306","0.00008291513950098306","0.00008291513950098306"
"15","0.00007527009438490495","0.00007527009438490495","0.00007527009438490495"
"17","0.00006154954462544993","0.00006154954462544993","0.00006154954462544993"
"19","0.00008859817171469331","0.00008859817171469331","0.00008859817171469331"
"21","0.00007468553667422384","0.00007468553667422384","0.00007468553667422384"
"23","0.00006053867400623858","0.00006053867400623858","0.00006053867400623858"
"25","0.00011224114859942347","0.00011224114859942347","0.00011224114859942347"
"27","0.00007902584911789745","0.00007902584911789745","0.00007902584911789745"
"29","0.00008510532643413171","0.00008510532643413171","0.00008510532643413171"
"31","0.0000781604103394784","0.0000781604103394784","0.0000781604103394784"
"33","0.00007615053618792444","0.00007615053618792444","0.00007615053618792444"
"35","0.00009019974095281214","0.00009019974095281214","0.00009019974095281214"
"37","0.00006770030449843034","0.00006770030449843034","0.00006770030449843034"
"39","0.00006048094655852765","0.00006048094655852765","0.00006048094655852765"
"41","0.00007554688636446372","0.00007554688636446372","0.00007554688636446372"
"43","0.0000735378052922897","0.0000735378052922897","0.0000735378052922897"
"45","0.00009003286686493084","0.00009003286686493084","0.00009003286686493084"
"47","0.00007234850636450574","0.00007234850636450574","0.00007234850636450574"
"49","0.00008034912025323138","0.00008034912025323138","0.00008034912025323138"
"51","0.00008512808562954888","0.00008512808562954888","0.00008512808562954888"
"53","0.0000883712200447917","0.0000883712200447917","0.0000883712200447917"
"55","0.00008724127837922424","0.00008724127837922424","0.00008724127837922424"
"57","0.00008564228483010083","0.00008564228483010083","0.00008564228483010083"
"59","0.00008957357931649312","0.00008957357931649312","0.00008957357931649312"
"61","0.00008089240873232484","0.00008089240873232484","0.00008089240873232484"
"63","0.00009015733667183667","0.00009015733667183667","0.00009015733667183667"
"65","0.00009277451317757368","0.00009277451317757368","0.00009277451317757368"
"67","0.00008060862455749884","0.00008060862455749884","0.00008060862455749884"
"69","0.0001092911115847528","0.0001092911115847528","0.0001092911115847528"
"71","0.00007576050848001614","0.00007576050848001614","0.00007576050848001614"
"73","0.00008929243631428108","0.00008929243631428108","0.00008929243631428108"
"75","0.00011640784214250743","0.00011640784214250743","0.00011640784214250743"
"77","0.00009290291200159118","0.00009290291200159118","0.00009290291200159118"
"79","0.00010160997771890834","0.00010160997771890834","0.00010160997771890834"
"81","0.00011675679706968367","0.00011675679706968367","0.00011675679706968367"
"83","0.00009803204011404887","0.00009803204011404887","0.00009803204011404887"
"85","0.00010046675015473738","0.00010046675015473738","0.00010046675015473738"
"87","0.000103975304227788","0.000103975304227788","0.000103975304227788"
"89","0.00011700461618602276","0.00011700461618602276","0.00011700461618602276"
"91","0.00009805457375478","0.00009805457375478","0.00009805457375478"
"93","0.00010301767179043964","0.00010301767179043964","0.00010301767179043964"
"95","0.00011317144526401535","0.00011317144526401535","0.00011317144526401535"
"97","0.00009585962106939405","0.00009585962106939405","0.00009585962106939405"
"99","0.00010801390453707427","0.00010801390453707427","0.00010801390453707427"
"101","0.00011035035277018324","0.00011035035277018324","0.00011035035277018324"
"103","0.00011099322000518441","0.00011099322000518441","0.00011099322000518441"
"105","0.00011000604717992246","0.00011000604717992246","0.00011000604717992246"
"107","0.00010694974480429664","0.00010694974480429664","0.00010694974480429664"
"109","0.00011698876187438145","0.00011698876187438145","0.00011698876187438145"
"111","0.00012452463852241635","0.00012452463852241635","0.00012452463852241635"
"113","0.0001374544226564467","0.0001374544226564467","0.0001374544226564467"
"115","0.0001142602413892746","0.0001142602413892746","0.0001142602413892746"
"117","0.00012538563169073313","0.00012538563169073313","0.00012538563169073313"
"119","0.00013288533955346793","0.00013288533955346793","0.00013288533955346793"
"121","0.00013426394434645772","0.00013426394434645772","0.00013426394434645772"
"123","0.00012763503764290363","0.00012763503764290363","0.00012763503764290363"
"125","0.00013299897545948625","0.00013299897545948625","0.00013299897545948625"
"127","0.00014362536603584886","0.00014362536603584886","0.00014362536603584886"
"129","0.00011287663801340386","0.00011287663801340386","0.00011287663801340386"
"131","0.00013750555808655918","0.00013750555808655918","0.00013750555808655918"
"133","0.0001388014352414757","0.0001388014352414757","0.0001388014352414757"
"135","0.0001505686086602509","0.0001505686086602509","0.0001505686086602509"
"137","0.00013103586388751864","0.00013103586388751864","0.00013103586388751864"
"139","0.00015267537673935294","0.00015267537673935294","0.00015267537673935294"
"141","0.00014274989371187985","0.00014274989371187985","0.00014274989371187985"
"143","0.00013966723054181784","0.00013966723054181784","0.00013966723054181784"
"145","0.0001380540052196011","0.0001380540052196011","0.0001380540052196011"
"147","0.00016369903460144997","0.00016369903460144997","0.00016369903460144997"
"149","0.00014303598436526954","0.00014303598436526954","0.00014303598436526954"
"151","0.0001661325222812593","0.0001661325222812593","0.0001661325222812593"
"153","0.00016069003322627395","0.00016069003322627395","0.00016069003322627395"
"155","0.00014018903311807662","0.00014018903311807662","0.00014018903311807662"
"157","0.00014781480422243476","0.00014781480422243476","0.00014781480422243476"
"159","0.00015187908138614148","0.00015187908138614148","0.00015187908138614148"
"161","0.0001506381231592968","0.0001506381231592968","0.0001506381231592968"
"163","0.00018478390120435506","0.00018478390120435506","0.00018478390120435506"
"165","0.00015770667232573032","0.00015770667232573032","0.00015770667232573032"
"167","0.00013759815192315727","0.00013759815192315727","0.00013759815192315727"
"169","0.0001828393287723884","0.0001828393287723884","0.0001828393287723884"
"171","0.0001798774756025523","0.0001798774756025523","0.0001798774756025523"
"173","0.0001855049340520054","0.0001855049340520054","0.0001855049340520054"
"175","0.00016883574426174164","0.00016883574426174164","0.00016883574426174164"
"177","0.00018398789688944817","0.00018398789688944817","0.00018398789688944817"
"179","0.0001740779698593542","0.0001740779698593542","0.0001740779698593542"
"181","0.00017611011571716517","0.00017611011571716517","0.00017611011571716517"
"183","0.0001872489956440404","0.0001872489956440404","0.0001872489956440404"
"185","0.00018825376173481345","0.00018825376173481345","0.00018825376173481345"
"187","0.00017195139662362635","0.00017195139662362635","0.00017195139662362635"
"189","0.0001888008846435696","0.0001888008846435696","0.0001888008846435696"
"191","0.00018806253501679748","0.00018806253501679748","0.00018806253501679748"
"193","0.00017403419769834727","0.00017403419769834727","0.00017403419769834727"
"195","0.00017831184959504753","0.00017831184959504753","0.00017831184959504753"
"197","0.00019656539370771497","0.00019656539370771497","0.00019656539370771497"
"199","0.00019887876987922937","0.00019887876987922937","0.00019887876987922937"
"201","0.00021232786821201444","0.00021232786821201444","0.00021232786821201444"
"203","0.00019572596647776663","0.00019572596647776663","0.00019572596647776663"
"205","0.00020497060904745013","0.00020497060904745013","0.00020497060904745013"
"207","0.00021239655325189233","0.00021239655325189233","0.00021239655325189233"
"209","0.0002085403393721208","0.0002085403393721208","0.0002085403393721208"
"211","0.00019740236166398972","0.00019740236166398972","0.00019740236166398972"
"213","0.00021970456873532385","0.00021970456873532385","0.00021970456873532385"
"215","0.00025658245431259274","0.00025658245431259274","0.00025658245431259274"
"217","0.00020753829448949546","0.00020753829448949546","0.00020753829448949546"
"219","0.00024142676556948572","0.00024142676556948572","0.00024142676556948572"
"221","0.0001949108118424192","0.0001949108118424192","0.0001949108118424192"
"223","0.00020031267195008695","0.00020031267195008695","0.00020031267195008695"
"225","0.00023881996457930654","0.00023881996457930654","0.00023881996457930654"
"227","0.000222566828597337","0.000222566828597337","0.000222566828597337"
