"Step","sleek-dew-1004 - mean_entropy_0","sleek-dew-1004 - mean_entropy_0__MIN","sleek-dew-1004 - mean_entropy_0__MAX"
"1","0.999790370464325","0.999790370464325","0.999790370464325"
"3","0.999871551990509","0.999871551990509","0.999871551990509"
"5","0.9997918605804443","0.9997918605804443","0.9997918605804443"
"7","0.9998538494110107","0.9998538494110107","0.9998538494110107"
"9","0.9998677968978882","0.9998677968978882","0.9998677968978882"
"11","0.9998583197593689","0.9998583197593689","0.9998583197593689"
"13","0.9998140335083008","0.9998140335083008","0.9998140335083008"
"15","0.9997761249542236","0.9997761249542236","0.9997761249542236"
"17","0.9998311400413513","0.9998311400413513","0.9998311400413513"
"19","0.9998608231544495","0.9998608231544495","0.9998608231544495"
"21","0.9998648762702942","0.9998648762702942","0.9998648762702942"
"23","0.9998451471328735","0.9998451471328735","0.9998451471328735"
"25","0.9998663663864136","0.9998663663864136","0.9998663663864136"
"27","0.999768078327179","0.999768078327179","0.999768078327179"
"29","0.9998834729194641","0.9998834729194641","0.9998834729194641"
"31","0.9998672604560852","0.9998672604560852","0.9998672604560852"
"33","0.9998829364776611","0.9998829364776611","0.9998829364776611"
"35","0.9999234676361084","0.9999234676361084","0.9999234676361084"
"37","0.99986332654953","0.99986332654953","0.99986332654953"
"39","0.9998215436935425","0.9998215436935425","0.9998215436935425"
"41","0.9998779296875","0.9998779296875","0.9998779296875"
"43","0.9998772144317627","0.9998772144317627","0.9998772144317627"
"45","0.99985671043396","0.99985671043396","0.99985671043396"
"47","0.999902606010437","0.999902606010437","0.999902606010437"
"49","0.9998816251754761","0.9998816251754761","0.9998816251754761"
"51","0.9998166561126709","0.9998166561126709","0.9998166561126709"
"53","0.99979168176651","0.99979168176651","0.99979168176651"
"55","0.9998916387557983","0.9998916387557983","0.9998916387557983"
"57","0.9998946189880371","0.9998946189880371","0.9998946189880371"
"59","0.9998977184295654","0.9998977184295654","0.9998977184295654"
"61","0.999923825263977","0.999923825263977","0.999923825263977"
"63","0.9998847246170044","0.9998847246170044","0.9998847246170044"
"65","0.9998385310173035","0.9998385310173035","0.9998385310173035"
"67","0.9999037981033325","0.9999037981033325","0.9999037981033325"
"69","0.9998816251754761","0.9998816251754761","0.9998816251754761"
"71","0.9998700022697449","0.9998700022697449","0.9998700022697449"
"73","0.999910831451416","0.999910831451416","0.999910831451416"
"75","0.9998456239700317","0.9998456239700317","0.9998456239700317"
"77","0.9998812675476074","0.9998812675476074","0.9998812675476074"
"79","0.9998779892921448","0.9998779892921448","0.9998779892921448"
"81","0.9999070763587952","0.9999070763587952","0.9999070763587952"
"83","0.9998906254768372","0.9998906254768372","0.9998906254768372"
"85","0.9998925924301147","0.9998925924301147","0.9998925924301147"
"87","0.9998695254325867","0.9998695254325867","0.9998695254325867"
"89","0.9998895525932312","0.9998895525932312","0.9998895525932312"
"91","0.999882161617279","0.999882161617279","0.999882161617279"
"93","0.9999019503593445","0.9999019503593445","0.9999019503593445"
"95","0.9999037981033325","0.9999037981033325","0.9999037981033325"
"97","0.9998921751976013","0.9998921751976013","0.9998921751976013"
"99","0.9998587965965271","0.9998587965965271","0.9998587965965271"
"101","0.9998520016670227","0.9998520016670227","0.9998520016670227"
"103","0.9998902082443237","0.9998902082443237","0.9998902082443237"
"105","0.9999099373817444","0.9999099373817444","0.9999099373817444"
"107","0.9998122453689575","0.9998122453689575","0.9998122453689575"
"109","0.9998801350593567","0.9998801350593567","0.9998801350593567"
"111","0.9998887777328491","0.9998887777328491","0.9998887777328491"
"113","0.9998713135719299","0.9998713135719299","0.9998713135719299"
"115","0.9998766779899597","0.9998766779899597","0.9998766779899597"
"117","0.999872088432312","0.999872088432312","0.999872088432312"
"119","0.9998717904090881","0.9998717904090881","0.9998717904090881"
"121","0.9998705387115479","0.9998705387115479","0.9998705387115479"
"123","0.9998778104782104","0.9998778104782104","0.9998778104782104"
"125","0.9998950958251953","0.9998950958251953","0.9998950958251953"
"127","0.9998663067817688","0.9998663067817688","0.9998663067817688"
"129","0.9998956322669983","0.9998956322669983","0.9998956322669983"
"131","0.9998453855514526","0.9998453855514526","0.9998453855514526"
"133","0.999861478805542","0.999861478805542","0.999861478805542"
"135","0.9998533129692078","0.9998533129692078","0.9998533129692078"
"137","0.9998382329940796","0.9998382329940796","0.9998382329940796"
"139","0.9998460412025452","0.9998460412025452","0.9998460412025452"
"141","0.9998769164085388","0.9998769164085388","0.9998769164085388"
"145","0.9998012185096741","0.9998012185096741","0.9998012185096741"
"147","0.9998835325241089","0.9998835325241089","0.9998835325241089"
"149","0.9998239278793335","0.9998239278793335","0.9998239278793335"
"151","0.9998565316200256","0.9998565316200256","0.9998565316200256"
"153","0.999843418598175","0.999843418598175","0.999843418598175"
"155","0.9997966289520264","0.9997966289520264","0.9997966289520264"
"157","0.9998458623886108","0.9998458623886108","0.9998458623886108"
"159","0.9998115301132202","0.9998115301132202","0.9998115301132202"
"161","0.9998322129249573","0.9998322129249573","0.9998322129249573"
"163","0.9998441934585571","0.9998441934585571","0.9998441934585571"
"165","0.9998491406440735","0.9998491406440735","0.9998491406440735"
"167","0.9998406171798706","0.9998406171798706","0.9998406171798706"
"169","0.9997697472572327","0.9997697472572327","0.9997697472572327"
"171","0.9997598528862","0.9997598528862","0.9997598528862"
"173","0.9998264312744141","0.9998264312744141","0.9998264312744141"
"175","0.9998444318771362","0.9998444318771362","0.9998444318771362"
"177","0.9998015761375427","0.9998015761375427","0.9998015761375427"
"179","0.999845027923584","0.999845027923584","0.999845027923584"
"181","0.9998137354850769","0.9998137354850769","0.9998137354850769"
"183","0.9998165965080261","0.9998165965080261","0.9998165965080261"
"185","0.9997742176055908","0.9997742176055908","0.9997742176055908"
"187","0.9998254179954529","0.9998254179954529","0.9998254179954529"
"189","0.9997754096984863","0.9997754096984863","0.9997754096984863"
"191","0.9998093843460083","0.9998093843460083","0.9998093843460083"
"193","0.9998043775558472","0.9998043775558472","0.9998043775558472"
"195","0.9997108578681946","0.9997108578681946","0.9997108578681946"
"197","0.9997801780700684","0.9997801780700684","0.9997801780700684"
"199","0.9998130798339844","0.9998130798339844","0.9998130798339844"
"201","0.9997735619544983","0.9997735619544983","0.9997735619544983"
"203","0.9998087882995605","0.9998087882995605","0.9998087882995605"
"205","0.9997829794883728","0.9997829794883728","0.9997829794883728"
"207","0.9997426271438599","0.9997426271438599","0.9997426271438599"
"209","0.9997358322143555","0.9997358322143555","0.9997358322143555"
"211","0.9997969269752502","0.9997969269752502","0.9997969269752502"
"213","0.9997909665107727","0.9997909665107727","0.9997909665107727"
"215","0.9997972846031189","0.9997972846031189","0.9997972846031189"
"217","0.9997961521148682","0.9997961521148682","0.9997961521148682"
"219","0.999654233455658","0.999654233455658","0.999654233455658"
"221","0.9997214674949646","0.9997214674949646","0.9997214674949646"
"223","0.9997616410255432","0.9997616410255432","0.9997616410255432"
"225","0.999746561050415","0.999746561050415","0.999746561050415"
"227","0.9997623562812805","0.9997623562812805","0.9997623562812805"
"229","0.9997678995132446","0.9997678995132446","0.9997678995132446"
"231","0.9997054934501648","0.9997054934501648","0.9997054934501648"
"233","0.9997174143791199","0.9997174143791199","0.9997174143791199"
"235","0.9997268915176392","0.9997268915176392","0.9997268915176392"
"237","0.9997526407241821","0.9997526407241821","0.9997526407241821"
"239","0.999728262424469","0.999728262424469","0.999728262424469"
"241","0.9996974468231201","0.9996974468231201","0.9996974468231201"
"243","0.9996591806411743","0.9996591806411743","0.9996591806411743"
"245","0.9996788501739502","0.9996788501739502","0.9996788501739502"
"247","0.9997562170028687","0.9997562170028687","0.9997562170028687"
